forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-84529-2112.0,Opening-Year-Model-Run,84529-2112.0,Opening-Year-Forecast-poi-84529-2112.0,00:00:00,23:59:59,volume,9340
Design-Year-84529-2112.0,Design-Year-Model-Run,84529-2112.0,Design-Year-Forecast-poi-84529-2112.0,00:00:00,23:59:59,volume,11510
Opening-Year-84529-2113.0,Opening-Year-Model-Run,84529-2113.0,Opening-Year-Forecast-poi-84529-2113.0,00:00:00,23:59:59,volume,6580
Design-Year-84529-2113.0,Design-Year-Model-Run,84529-2113.0,Design-Year-Forecast-poi-84529-2113.0,00:00:00,23:59:59,volume,8060
Opening-Year-84529-2114.0,Opening-Year-Model-Run,84529-2114.0,Opening-Year-Forecast-poi-84529-2114.0,00:00:00,23:59:59,volume,4750
Design-Year-84529-2114.0,Design-Year-Model-Run,84529-2114.0,Design-Year-Forecast-poi-84529-2114.0,00:00:00,23:59:59,volume,5320
Opening-Year-84529-2159.0,Opening-Year-Model-Run,84529-2159.0,Opening-Year-Forecast-poi-84529-2159.0,00:00:00,23:59:59,volume,11190
Design-Year-84529-2159.0,Design-Year-Model-Run,84529-2159.0,Design-Year-Forecast-poi-84529-2159.0,00:00:00,23:59:59,volume,13140
Opening-Year-84529-2160.0,Opening-Year-Model-Run,84529-2160.0,Opening-Year-Forecast-poi-84529-2160.0,00:00:00,23:59:59,volume,16870
Design-Year-84529-2160.0,Design-Year-Model-Run,84529-2160.0,Design-Year-Forecast-poi-84529-2160.0,00:00:00,23:59:59,volume,18940
