forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-84557-2668.0,Opening-Year-Model-Run,84557-2668.0,Opening-Year-Forecast-poi-84557-2668.0,00:00:00,23:59:59,volume,60470
Design-Year-84557-2668.0,Design-Year-Model-Run,84557-2668.0,Design-Year-Forecast-poi-84557-2668.0,00:00:00,23:59:59,volume,90630
Opening-Year-84557-2678.0,Opening-Year-Model-Run,84557-2678.0,Opening-Year-Forecast-poi-84557-2678.0,00:00:00,23:59:59,volume,62240
Design-Year-84557-2678.0,Design-Year-Model-Run,84557-2678.0,Design-Year-Forecast-poi-84557-2678.0,00:00:00,23:59:59,volume,93800
Opening-Year-84557-2679.0,Opening-Year-Model-Run,84557-2679.0,Opening-Year-Forecast-poi-84557-2679.0,00:00:00,23:59:59,volume,64130
Design-Year-84557-2679.0,Design-Year-Model-Run,84557-2679.0,Design-Year-Forecast-poi-84557-2679.0,00:00:00,23:59:59,volume,95880
Opening-Year-84557-2680.0,Opening-Year-Model-Run,84557-2680.0,Opening-Year-Forecast-poi-84557-2680.0,00:00:00,23:59:59,volume,62580
Design-Year-84557-2680.0,Design-Year-Model-Run,84557-2680.0,Design-Year-Forecast-poi-84557-2680.0,00:00:00,23:59:59,volume,92780
Opening-Year-84557-2694.0,Opening-Year-Model-Run,84557-2694.0,Opening-Year-Forecast-poi-84557-2694.0,00:00:00,23:59:59,volume,12070
Design-Year-84557-2694.0,Design-Year-Model-Run,84557-2694.0,Design-Year-Forecast-poi-84557-2694.0,00:00:00,23:59:59,volume,16230
Opening-Year-84557-2695.0,Opening-Year-Model-Run,84557-2695.0,Opening-Year-Forecast-poi-84557-2695.0,00:00:00,23:59:59,volume,22490
Design-Year-84557-2695.0,Design-Year-Model-Run,84557-2695.0,Design-Year-Forecast-poi-84557-2695.0,00:00:00,23:59:59,volume,30570
Opening-Year-84557-2696.0,Opening-Year-Model-Run,84557-2696.0,Opening-Year-Forecast-poi-84557-2696.0,00:00:00,23:59:59,volume,22260
Design-Year-84557-2696.0,Design-Year-Model-Run,84557-2696.0,Design-Year-Forecast-poi-84557-2696.0,00:00:00,23:59:59,volume,30250
Opening-Year-84557-2697.0,Opening-Year-Model-Run,84557-2697.0,Opening-Year-Forecast-poi-84557-2697.0,00:00:00,23:59:59,volume,23340
Design-Year-84557-2697.0,Design-Year-Model-Run,84557-2697.0,Design-Year-Forecast-poi-84557-2697.0,00:00:00,23:59:59,volume,31710
Opening-Year-84557-2698.0,Opening-Year-Model-Run,84557-2698.0,Opening-Year-Forecast-poi-84557-2698.0,00:00:00,23:59:59,volume,21470
Design-Year-84557-2698.0,Design-Year-Model-Run,84557-2698.0,Design-Year-Forecast-poi-84557-2698.0,00:00:00,23:59:59,volume,28300
