forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-84699-2199.0,Opening-Year-Model-Run,84699-2199.0,Opening-Year-Forecast-poi-84699-2199.0,00:00:00,23:59:59,volume,58750
Design-Year-84699-2199.0,Design-Year-Model-Run,84699-2199.0,Design-Year-Forecast-poi-84699-2199.0,00:00:00,23:59:59,volume,80770
Opening-Year-84699-2200.0,Opening-Year-Model-Run,84699-2200.0,Opening-Year-Forecast-poi-84699-2200.0,00:00:00,23:59:59,volume,53500
Design-Year-84699-2200.0,Design-Year-Model-Run,84699-2200.0,Design-Year-Forecast-poi-84699-2200.0,00:00:00,23:59:59,volume,77430
Opening-Year-84699-2201.0,Opening-Year-Model-Run,84699-2201.0,Opening-Year-Forecast-poi-84699-2201.0,00:00:00,23:59:59,volume,46710
Design-Year-84699-2201.0,Design-Year-Model-Run,84699-2201.0,Design-Year-Forecast-poi-84699-2201.0,00:00:00,23:59:59,volume,69540
Opening-Year-84699-2202.0,Opening-Year-Model-Run,84699-2202.0,Opening-Year-Forecast-poi-84699-2202.0,00:00:00,23:59:59,volume,40050
Design-Year-84699-2202.0,Design-Year-Model-Run,84699-2202.0,Design-Year-Forecast-poi-84699-2202.0,00:00:00,23:59:59,volume,62670
Opening-Year-84699-2234.0,Opening-Year-Model-Run,84699-2234.0,Opening-Year-Forecast-poi-84699-2234.0,00:00:00,23:59:59,volume,14830
Design-Year-84699-2234.0,Design-Year-Model-Run,84699-2234.0,Design-Year-Forecast-poi-84699-2234.0,00:00:00,23:59:59,volume,16000
Opening-Year-84699-2235.0,Opening-Year-Model-Run,84699-2235.0,Opening-Year-Forecast-poi-84699-2235.0,00:00:00,23:59:59,volume,12900
Design-Year-84699-2235.0,Design-Year-Model-Run,84699-2235.0,Design-Year-Forecast-poi-84699-2235.0,00:00:00,23:59:59,volume,13870
Opening-Year-84699-2249.0,Opening-Year-Model-Run,84699-2249.0,Opening-Year-Forecast-poi-84699-2249.0,00:00:00,23:59:59,volume,10260
Design-Year-84699-2249.0,Design-Year-Model-Run,84699-2249.0,Design-Year-Forecast-poi-84699-2249.0,00:00:00,23:59:59,volume,10700
Opening-Year-84699-2250.0,Opening-Year-Model-Run,84699-2250.0,Opening-Year-Forecast-poi-84699-2250.0,00:00:00,23:59:59,volume,12240
Design-Year-84699-2250.0,Design-Year-Model-Run,84699-2250.0,Design-Year-Forecast-poi-84699-2250.0,00:00:00,23:59:59,volume,12670
