obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
85078-2276-1,85078-2276,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,11460
85078-2276-1,85078-2276,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,12290
85078-2277-1,85078-2277,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,11460
85078-2277-1,85078-2277,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,12290
85078-2278-1,85078-2278,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,11460
85078-2278-1,85078-2278,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,12290
85078-2279-1,85078-2279,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,11460
85078-2279-1,85078-2279,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,12290
85078-2280-1,85078-2280,Opening Year,unknown,unknown,2013,00:00:00,00:00:00,volume,11460
85078-2280-1,85078-2280,Design Year,unknown,unknown,2010,00:00:00,00:00:00,volume,12290
