forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-85135-2778.0,Opening-Year-Model-Run,85135-2778.0,Opening-Year-Forecast-poi-85135-2778.0,00:00:00,23:59:59,volume,8240
Design-Year-85135-2778.0,Design-Year-Model-Run,85135-2778.0,Design-Year-Forecast-poi-85135-2778.0,00:00:00,23:59:59,volume,11580
Opening-Year-85135-2779.0,Opening-Year-Model-Run,85135-2779.0,Opening-Year-Forecast-poi-85135-2779.0,00:00:00,23:59:59,volume,10630
Design-Year-85135-2779.0,Design-Year-Model-Run,85135-2779.0,Design-Year-Forecast-poi-85135-2779.0,00:00:00,23:59:59,volume,13170
Opening-Year-85135-2780.0,Opening-Year-Model-Run,85135-2780.0,Opening-Year-Forecast-poi-85135-2780.0,00:00:00,23:59:59,volume,4200
Design-Year-85135-2780.0,Design-Year-Model-Run,85135-2780.0,Design-Year-Forecast-poi-85135-2780.0,00:00:00,23:59:59,volume,6080
Opening-Year-85135-2783.0,Opening-Year-Model-Run,85135-2783.0,Opening-Year-Forecast-poi-85135-2783.0,00:00:00,23:59:59,volume,6560
Design-Year-85135-2783.0,Design-Year-Model-Run,85135-2783.0,Design-Year-Forecast-poi-85135-2783.0,00:00:00,23:59:59,volume,8250
Opening-Year-85135-2845.0,Opening-Year-Model-Run,85135-2845.0,Opening-Year-Forecast-poi-85135-2845.0,00:00:00,23:59:59,volume,6460
Design-Year-85135-2845.0,Design-Year-Model-Run,85135-2845.0,Design-Year-Forecast-poi-85135-2845.0,00:00:00,23:59:59,volume,8830
Opening-Year-85135-2849.0,Opening-Year-Model-Run,85135-2849.0,Opening-Year-Forecast-poi-85135-2849.0,00:00:00,23:59:59,volume,10390
Design-Year-85135-2849.0,Design-Year-Model-Run,85135-2849.0,Design-Year-Forecast-poi-85135-2849.0,00:00:00,23:59:59,volume,13340
Opening-Year-85135-2850.0,Opening-Year-Model-Run,85135-2850.0,Opening-Year-Forecast-poi-85135-2850.0,00:00:00,23:59:59,volume,12830
Design-Year-85135-2850.0,Design-Year-Model-Run,85135-2850.0,Design-Year-Forecast-poi-85135-2850.0,00:00:00,23:59:59,volume,16910
Opening-Year-85135-2857.0,Opening-Year-Model-Run,85135-2857.0,Opening-Year-Forecast-poi-85135-2857.0,00:00:00,23:59:59,volume,9100
Design-Year-85135-2857.0,Design-Year-Model-Run,85135-2857.0,Design-Year-Forecast-poi-85135-2857.0,00:00:00,23:59:59,volume,11020
Opening-Year-85135-2858.0,Opening-Year-Model-Run,85135-2858.0,Opening-Year-Forecast-poi-85135-2858.0,00:00:00,23:59:59,volume,9030
Design-Year-85135-2858.0,Design-Year-Model-Run,85135-2858.0,Design-Year-Forecast-poi-85135-2858.0,00:00:00,23:59:59,volume,10940
