forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,85162-2631,Opening Year,00:00:00,00:00:00,volume,32370
f3,1,85162-2631,Design Year,00:00:00,00:00:00,volume,39600
f1,1,85162-2632,Opening Year,00:00:00,00:00:00,volume,43250
f3,1,85162-2632,Design Year,00:00:00,00:00:00,volume,47230
f1,1,85162-2635,Opening Year,00:00:00,00:00:00,volume,48370
f3,1,85162-2635,Design Year,00:00:00,00:00:00,volume,56670
f1,1,85162-2636,Opening Year,00:00:00,00:00:00,volume,53390
f3,1,85162-2636,Design Year,00:00:00,00:00:00,volume,64860
f1,1,85162-2643,Opening Year,00:00:00,00:00:00,volume,14750
f3,1,85162-2643,Design Year,00:00:00,00:00:00,volume,15960
f1,1,85162-2647,Opening Year,00:00:00,00:00:00,volume,22050
f3,1,85162-2647,Design Year,00:00:00,00:00:00,volume,26830
f1,1,85162-2648,Opening Year,00:00:00,00:00:00,volume,29910
f3,1,85162-2648,Design Year,00:00:00,00:00:00,volume,32280
f1,1,85162-2649,Opening Year,00:00:00,00:00:00,volume,8690
f3,1,85162-2649,Design Year,00:00:00,00:00:00,volume,11780
f1,1,85162-2650,Opening Year,00:00:00,00:00:00,volume,7020
f3,1,85162-2650,Design Year,00:00:00,00:00:00,volume,8780
f1,1,85162-2666,Opening Year,00:00:00,00:00:00,volume,8120
f3,1,85162-2666,Design Year,00:00:00,00:00:00,volume,8970
