forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,86462-6152,Opening Year,00:00:00,24:00,volume,24720
f3,1,86462-6152,Design Year,00:00:00,24:00,volume,24870
f1,1,86462-6153,Opening Year,00:00:00,24:00,volume,11600
f3,1,86462-6153,Design Year,00:00:00,24:00,volume,11690
f1,1,86462-6154,Opening Year,00:00:00,24:00,volume,21140
f3,1,86462-6154,Design Year,00:00:00,24:00,volume,22830
f1,1,86462-6155,Opening Year,00:00:00,24:00,volume,27420
f3,1,86462-6155,Design Year,00:00:00,24:00,volume,29190
f1,1,86462-6156,Opening Year,00:00:00,24:00,volume,34730
f3,1,86462-6156,Design Year,00:00:00,24:00,volume,34830
f1,1,86462-6157,Opening Year,00:00:00,24:00,volume,41970
f3,1,86462-6157,Design Year,00:00:00,24:00,volume,42160
f1,1,86462-6158,Opening Year,00:00:00,24:00,volume,41970
f3,1,86462-6158,Design Year,00:00:00,24:00,volume,42160
f1,1,86462-6159,Opening Year,00:00:00,24:00,volume,17630
f3,1,86462-6159,Design Year,00:00:00,24:00,volume,17960
f1,1,86462-6160,Opening Year,00:00:00,24:00,volume,17630
f3,1,86462-6160,Design Year,00:00:00,24:00,volume,17960
f1,1,86462-6161,Opening Year,00:00:00,24:00,volume,27080
f3,1,86462-6161,Design Year,00:00:00,24:00,volume,27150
f1,1,86462-6162,Opening Year,00:00:00,24:00,volume,19110
f3,1,86462-6162,Design Year,00:00:00,24:00,volume,19350
f1,1,86462-6163,Opening Year,00:00:00,24:00,volume,9650
f3,1,86462-6163,Design Year,00:00:00,24:00,volume,9890
f1,1,86462-6164,Opening Year,00:00:00,24:00,volume,12280
f3,1,86462-6164,Design Year,00:00:00,24:00,volume,14000
f1,1,86462-6165,Opening Year,00:00:00,24:00,volume,19970
f3,1,86462-6165,Design Year,00:00:00,24:00,volume,20680
f1,1,86462-6166,Opening Year,00:00:00,24:00,volume,17430
f3,1,86462-6166,Design Year,00:00:00,24:00,volume,18650
f1,1,86462-6167,Opening Year,00:00:00,24:00,volume,20870
f3,1,86462-6167,Design Year,00:00:00,24:00,volume,22310
f1,1,86462-6168,Opening Year,00:00:00,24:00,volume,15530
f3,1,86462-6168,Design Year,00:00:00,24:00,volume,15730
f1,1,86462-6169,Opening Year,00:00:00,24:00,volume,17730
f3,1,86462-6169,Design Year,00:00:00,24:00,volume,17860
f1,1,86462-6170,Opening Year,00:00:00,24:00,volume,20460
f3,1,86462-6170,Design Year,00:00:00,24:00,volume,20750
f1,1,86462-6171,Opening Year,00:00:00,24:00,volume,18560
f3,1,86462-6171,Design Year,00:00:00,24:00,volume,18770
f1,1,86462-6172,Opening Year,00:00:00,24:00,volume,16880
f3,1,86462-6172,Design Year,00:00:00,24:00,volume,17260
f1,1,86462-6173,Opening Year,00:00:00,24:00,volume,16540
f3,1,86462-6173,Design Year,00:00:00,24:00,volume,16950
f1,1,86462-6174,Opening Year,00:00:00,24:00,volume,21600
f3,1,86462-6174,Design Year,00:00:00,24:00,volume,22080
f1,1,86462-6175,Opening Year,00:00:00,24:00,volume,20330
f3,1,86462-6175,Design Year,00:00:00,24:00,volume,20820
f1,1,86462-6176,Opening Year,00:00:00,24:00,volume,24950
f3,1,86462-6176,Design Year,00:00:00,24:00,volume,25420
f1,1,86462-6177,Opening Year,00:00:00,24:00,volume,24070
f3,1,86462-6177,Design Year,00:00:00,24:00,volume,24300
f1,1,86462-6178,Opening Year,00:00:00,24:00,volume,11040
f3,1,86462-6178,Design Year,00:00:00,24:00,volume,11130
f1,1,86462-6179,Opening Year,00:00:00,24:00,volume,10940
f3,1,86462-6179,Design Year,00:00:00,24:00,volume,11330
f1,1,86462-6180,Opening Year,00:00:00,24:00,volume,21120
f3,1,86462-6180,Design Year,00:00:00,24:00,volume,21240
