forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-87094-3648.0,Opening-Year-Model-Run,87094-3648.0,Opening-Year-Forecast-poi-87094-3648.0,00:00:00,23:59:59,volume,2700
Design-Year-87094-3648.0,Design-Year-Model-Run,87094-3648.0,Design-Year-Forecast-poi-87094-3648.0,00:00:00,23:59:59,volume,3300
Opening-Year-87094-3649.0,Opening-Year-Model-Run,87094-3649.0,Opening-Year-Forecast-poi-87094-3649.0,00:00:00,23:59:59,volume,2500
Design-Year-87094-3649.0,Design-Year-Model-Run,87094-3649.0,Design-Year-Forecast-poi-87094-3649.0,00:00:00,23:59:59,volume,3200
Opening-Year-87094-3650.0,Opening-Year-Model-Run,87094-3650.0,Opening-Year-Forecast-poi-87094-3650.0,00:00:00,23:59:59,volume,2400
Design-Year-87094-3650.0,Design-Year-Model-Run,87094-3650.0,Design-Year-Forecast-poi-87094-3650.0,00:00:00,23:59:59,volume,2700
Opening-Year-87094-3651.0,Opening-Year-Model-Run,87094-3651.0,Opening-Year-Forecast-poi-87094-3651.0,00:00:00,23:59:59,volume,2400
Design-Year-87094-3651.0,Design-Year-Model-Run,87094-3651.0,Design-Year-Forecast-poi-87094-3651.0,00:00:00,23:59:59,volume,2700
Opening-Year-87094-3652.0,Opening-Year-Model-Run,87094-3652.0,Opening-Year-Forecast-poi-87094-3652.0,00:00:00,23:59:59,volume,2400
Design-Year-87094-3652.0,Design-Year-Model-Run,87094-3652.0,Design-Year-Forecast-poi-87094-3652.0,00:00:00,23:59:59,volume,2700
Opening-Year-87094-3653.0,Opening-Year-Model-Run,87094-3653.0,Opening-Year-Forecast-poi-87094-3653.0,00:00:00,23:59:59,volume,2600
Design-Year-87094-3653.0,Design-Year-Model-Run,87094-3653.0,Design-Year-Forecast-poi-87094-3653.0,00:00:00,23:59:59,volume,2600
Opening-Year-87094-3654.0,Opening-Year-Model-Run,87094-3654.0,Opening-Year-Forecast-poi-87094-3654.0,00:00:00,23:59:59,volume,4100
Design-Year-87094-3654.0,Design-Year-Model-Run,87094-3654.0,Design-Year-Forecast-poi-87094-3654.0,00:00:00,23:59:59,volume,4100
Opening-Year-87094-3655.0,Opening-Year-Model-Run,87094-3655.0,Opening-Year-Forecast-poi-87094-3655.0,00:00:00,23:59:59,volume,2500
Design-Year-87094-3655.0,Design-Year-Model-Run,87094-3655.0,Design-Year-Forecast-poi-87094-3655.0,00:00:00,23:59:59,volume,2700
Opening-Year-87094-3656.0,Opening-Year-Model-Run,87094-3656.0,Opening-Year-Forecast-poi-87094-3656.0,00:00:00,23:59:59,volume,2500
Design-Year-87094-3656.0,Design-Year-Model-Run,87094-3656.0,Design-Year-Forecast-poi-87094-3656.0,00:00:00,23:59:59,volume,2700
Opening-Year-87094-3657.0,Opening-Year-Model-Run,87094-3657.0,Opening-Year-Forecast-poi-87094-3657.0,00:00:00,23:59:59,volume,2400
Design-Year-87094-3657.0,Design-Year-Model-Run,87094-3657.0,Design-Year-Forecast-poi-87094-3657.0,00:00:00,23:59:59,volume,2700
