forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,87100-3604,Opening Year,00:00:00,24:00,volume,4200
f3,1,87100-3604,Design Year,00:00:00,24:00,volume,4700
f1,1,87100-3605,Opening Year,00:00:00,24:00,volume,4500
f3,1,87100-3605,Design Year,00:00:00,24:00,volume,5000
f1,1,87100-3606,Opening Year,00:00:00,24:00,volume,4500
f3,1,87100-3606,Design Year,00:00:00,24:00,volume,5200
f1,1,87100-3607,Opening Year,00:00:00,24:00,volume,6400
f3,1,87100-3607,Design Year,00:00:00,24:00,volume,7400
f1,1,87100-3608,Opening Year,00:00:00,24:00,volume,5300
f3,1,87100-3608,Design Year,00:00:00,24:00,volume,6100
f1,1,87100-3609,Opening Year,00:00:00,24:00,volume,5300
f3,1,87100-3609,Design Year,00:00:00,24:00,volume,6000
