obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
87825-2116-1,87825-2116,Opening Year,unknown,unknown,2012,00:00:00,24:00:00,volume,22790
87825-2116-1,87825-2116,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,19170
87825-2117-1,87825-2117,Opening Year,unknown,unknown,2012,00:00:00,24:00:00,volume,26250
87825-2117-1,87825-2117,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,23070
87825-2118-1,87825-2118,Opening Year,unknown,unknown,2012,00:00:00,24:00:00,volume,19690
87825-2118-1,87825-2118,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,16880
87825-2119-1,87825-2119,Opening Year,unknown,unknown,2012,00:00:00,24:00:00,volume,19690
87825-2119-1,87825-2119,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,27540
87825-2125-1,87825-2125,Opening Year,unknown,unknown,2013,00:00:00,24:00:00,volume,42910
87825-2125-1,87825-2125,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,40400
87825-2126-1,87825-2126,Opening Year,unknown,unknown,2013,00:00:00,24:00:00,volume,36550
87825-2126-1,87825-2126,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,33950
87825-2127-1,87825-2127,Opening Year,unknown,unknown,2013,00:00:00,24:00:00,volume,53630
87825-2127-1,87825-2127,Design Year,unknown,unknown,2010,00:00:00,24:00:00,volume,49380
