forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,88049-1776,Opening Year,00:00:00,24:00,volume,8570
f3,1,88049-1776,Design Year,00:00:00,24:00,volume,9430
f1,1,88049-1777,Opening Year,00:00:00,24:00,volume,9100
f3,1,88049-1777,Design Year,00:00:00,24:00,volume,9980
f1,1,88049-1778,Opening Year,00:00:00,24:00,volume,9950
f3,1,88049-1778,Design Year,00:00:00,24:00,volume,10420
f1,1,88049-1779,Opening Year,00:00:00,24:00,volume,7570
f3,1,88049-1779,Design Year,00:00:00,24:00,volume,7690
f1,1,88049-1780,Opening Year,00:00:00,24:00,volume,9360
f3,1,88049-1780,Design Year,00:00:00,24:00,volume,9540
f1,1,88049-1781,Opening Year,00:00:00,24:00,volume,12760
f3,1,88049-1781,Design Year,00:00:00,24:00,volume,12920
f1,1,88049-1782,Opening Year,00:00:00,24:00,volume,13150
f3,1,88049-1782,Design Year,00:00:00,24:00,volume,13310
f1,1,88049-1783,Opening Year,00:00:00,24:00,volume,13340
f3,1,88049-1783,Design Year,00:00:00,24:00,volume,13440
f1,1,88049-1784,Opening Year,00:00:00,24:00,volume,14220
f3,1,88049-1784,Design Year,00:00:00,24:00,volume,14790
f1,1,88049-1795,Opening Year,00:00:00,24:00,volume,4720
f3,1,88049-1795,Design Year,00:00:00,24:00,volume,4720
f1,1,88049-1796,Opening Year,00:00:00,24:00,volume,4810
f3,1,88049-1796,Design Year,00:00:00,24:00,volume,4870
