forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-88252-3121.0,Opening-Year-Model-Run,88252-3121.0,Opening-Year-Forecast-poi-88252-3121.0,00:00:00,23:59:59,volume,70500
Design-Year-88252-3121.0,Design-Year-Model-Run,88252-3121.0,Design-Year-Forecast-poi-88252-3121.0,00:00:00,23:59:59,volume,83180
Opening-Year-88252-3122.0,Opening-Year-Model-Run,88252-3122.0,Opening-Year-Forecast-poi-88252-3122.0,00:00:00,23:59:59,volume,80540
Design-Year-88252-3122.0,Design-Year-Model-Run,88252-3122.0,Design-Year-Forecast-poi-88252-3122.0,00:00:00,23:59:59,volume,93200
Opening-Year-88252-3123.0,Opening-Year-Model-Run,88252-3123.0,Opening-Year-Forecast-poi-88252-3123.0,00:00:00,23:59:59,volume,83780
Design-Year-88252-3123.0,Design-Year-Model-Run,88252-3123.0,Design-Year-Forecast-poi-88252-3123.0,00:00:00,23:59:59,volume,96600
Opening-Year-88252-3124.0,Opening-Year-Model-Run,88252-3124.0,Opening-Year-Forecast-poi-88252-3124.0,00:00:00,23:59:59,volume,60590
Design-Year-88252-3124.0,Design-Year-Model-Run,88252-3124.0,Design-Year-Forecast-poi-88252-3124.0,00:00:00,23:59:59,volume,68620
Opening-Year-88252-3125.0,Opening-Year-Model-Run,88252-3125.0,Opening-Year-Forecast-poi-88252-3125.0,00:00:00,23:59:59,volume,51300
Design-Year-88252-3125.0,Design-Year-Model-Run,88252-3125.0,Design-Year-Forecast-poi-88252-3125.0,00:00:00,23:59:59,volume,57900
Opening-Year-88252-3126.0,Opening-Year-Model-Run,88252-3126.0,Opening-Year-Forecast-poi-88252-3126.0,00:00:00,23:59:59,volume,58820
Design-Year-88252-3126.0,Design-Year-Model-Run,88252-3126.0,Design-Year-Forecast-poi-88252-3126.0,00:00:00,23:59:59,volume,74800
Opening-Year-88252-3127.0,Opening-Year-Model-Run,88252-3127.0,Opening-Year-Forecast-poi-88252-3127.0,00:00:00,23:59:59,volume,46730
Design-Year-88252-3127.0,Design-Year-Model-Run,88252-3127.0,Design-Year-Forecast-poi-88252-3127.0,00:00:00,23:59:59,volume,64180
