forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,88407-3841,Opening Year,00:00:00,00:00:00,volume,21420
f3,1,88407-3841,Design Year,00:00:00,00:00:00,volume,226250
f1,1,88407-3859,Opening Year,00:00:00,00:00:00,volume,22290
f3,1,88407-3859,Design Year,00:00:00,00:00:00,volume,27980
f1,1,88407-3860,Opening Year,00:00:00,00:00:00,volume,21000
f3,1,88407-3860,Design Year,00:00:00,00:00:00,volume,26260
f1,1,88407-3861,Opening Year,00:00:00,00:00:00,volume,29220
f3,1,88407-3861,Design Year,00:00:00,00:00:00,volume,38000
f1,1,88407-3862,Opening Year,00:00:00,00:00:00,volume,10860
f3,1,88407-3862,Design Year,00:00:00,00:00:00,volume,11800
f1,1,88407-3863,Opening Year,00:00:00,00:00:00,volume,11980
f3,1,88407-3863,Design Year,00:00:00,00:00:00,volume,12820
f1,1,88407-3864,Opening Year,00:00:00,00:00:00,volume,8380
f3,1,88407-3864,Design Year,00:00:00,00:00:00,volume,8840
f1,1,88407-3865,Opening Year,00:00:00,00:00:00,volume,20060
f3,1,88407-3865,Design Year,00:00:00,00:00:00,volume,21960
f1,1,88407-3866,Opening Year,00:00:00,00:00:00,volume,22900
f3,1,88407-3866,Design Year,00:00:00,00:00:00,volume,25690
f1,1,88407-3867,Opening Year,00:00:00,00:00:00,volume,23290
f3,1,88407-3867,Design Year,00:00:00,00:00:00,volume,26080
f1,1,88407-3868,Opening Year,00:00:00,00:00:00,volume,28930
f3,1,88407-3868,Design Year,00:00:00,00:00:00,volume,30750
f1,1,88407-3869,Opening Year,00:00:00,00:00:00,volume,28850
f3,1,88407-3869,Design Year,00:00:00,00:00:00,volume,30650
f1,1,88407-3870,Opening Year,00:00:00,00:00:00,volume,30420
f3,1,88407-3870,Design Year,00:00:00,00:00:00,volume,32300
f1,1,88407-3871,Opening Year,00:00:00,00:00:00,volume,29830
f3,1,88407-3871,Design Year,00:00:00,00:00:00,volume,32210
f1,1,88407-3872,Opening Year,00:00:00,00:00:00,volume,27080
f3,1,88407-3872,Design Year,00:00:00,00:00:00,volume,29440
f1,1,88407-3873,Opening Year,00:00:00,00:00:00,volume,28780
f3,1,88407-3873,Design Year,00:00:00,00:00:00,volume,31180
f1,1,88407-3874,Opening Year,00:00:00,00:00:00,volume,25330
f3,1,88407-3874,Design Year,00:00:00,00:00:00,volume,26850
f1,1,88407-3875,Opening Year,00:00:00,00:00:00,volume,28940
f3,1,88407-3875,Design Year,00:00:00,00:00:00,volume,30960
f1,1,88407-3876,Opening Year,00:00:00,00:00:00,volume,29420
f3,1,88407-3876,Design Year,00:00:00,00:00:00,volume,31580
f1,1,88407-3877,Opening Year,00:00:00,00:00:00,volume,21430
f3,1,88407-3877,Design Year,00:00:00,00:00:00,volume,22720
f1,1,88407-3878,Opening Year,00:00:00,00:00:00,volume,19490
f3,1,88407-3878,Design Year,00:00:00,00:00:00,volume,21480
