obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
88407-3841.0-1,88407-3841.0,Opening-Year-Forecast-poi-88407-3841.0,unknown,unknown,2015,00:00:00,23:59:59,volume,26144
88407-3859.0-1,88407-3859.0,Opening-Year-Forecast-poi-88407-3859.0,unknown,unknown,2015,00:00:00,23:59:59,volume,26144
88407-3860.0-1,88407-3860.0,Opening-Year-Forecast-poi-88407-3860.0,unknown,unknown,2015,00:00:00,23:59:59,volume,24714
88407-3861.0-1,88407-3861.0,Opening-Year-Forecast-poi-88407-3861.0,unknown,unknown,2015,00:00:00,23:59:59,volume,28848
88407-3862.0-1,88407-3862.0,Opening-Year-Forecast-poi-88407-3862.0,unknown,unknown,2015,00:00:00,23:59:59,volume,8267
88407-3863.0-1,88407-3863.0,Opening-Year-Forecast-poi-88407-3863.0,unknown,unknown,2015,00:00:00,23:59:59,volume,6472
88407-3864.0-1,88407-3864.0,Opening-Year-Forecast-poi-88407-3864.0,unknown,unknown,2015,00:00:00,23:59:59,volume,6408
88407-3865.0-1,88407-3865.0,Opening-Year-Forecast-poi-88407-3865.0,unknown,unknown,2015,00:00:00,23:59:59,volume,6408
88407-3866.0-1,88407-3866.0,Opening-Year-Forecast-poi-88407-3866.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3867.0-1,88407-3867.0,Opening-Year-Forecast-poi-88407-3867.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3868.0-1,88407-3868.0,Opening-Year-Forecast-poi-88407-3868.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3869.0-1,88407-3869.0,Opening-Year-Forecast-poi-88407-3869.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3870.0-1,88407-3870.0,Opening-Year-Forecast-poi-88407-3870.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3871.0-1,88407-3871.0,Opening-Year-Forecast-poi-88407-3871.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3872.0-1,88407-3872.0,Opening-Year-Forecast-poi-88407-3872.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3873.0-1,88407-3873.0,Opening-Year-Forecast-poi-88407-3873.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3874.0-1,88407-3874.0,Opening-Year-Forecast-poi-88407-3874.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3875.0-1,88407-3875.0,Opening-Year-Forecast-poi-88407-3875.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3876.0-1,88407-3876.0,Opening-Year-Forecast-poi-88407-3876.0,unknown,unknown,2015,00:00:00,23:59:59,volume,19418
88407-3877.0-1,88407-3877.0,Opening-Year-Forecast-poi-88407-3877.0,unknown,unknown,2015,00:00:00,23:59:59,volume,25838
88407-3878.0-1,88407-3878.0,Opening-Year-Forecast-poi-88407-3878.0,unknown,unknown,2015,00:00:00,23:59:59,volume,22946
