obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
88739-3967-1,88739-3967,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,8007
88739-3967-1,88739-3967,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,8510
88739-3968-1,88739-3968,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,8007
88739-3968-1,88739-3968,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,11180
88739-3969-1,88739-3969,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,4040
88739-3969-1,88739-3969,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4430
88739-3970-1,88739-3970,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,12626
88739-3970-1,88739-3970,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,14960
88739-3971-1,88739-3971,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,21316
88739-3971-1,88739-3971,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,5500
88739-3972-1,88739-3972,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,21316
88739-3972-1,88739-3972,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,18170
88739-3973-1,88739-3973,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,21316
88739-3973-1,88739-3973,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,18170
