forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-90264-5738.0,Opening-Year-Model-Run,90264-5738.0,Opening-Year-Forecast-poi-90264-5738.0,00:00:00,23:59:59,volume,10180
Design-Year-90264-5738.0,Design-Year-Model-Run,90264-5738.0,Design-Year-Forecast-poi-90264-5738.0,00:00:00,23:59:59,volume,22760
Opening-Year-90264-5739.0,Opening-Year-Model-Run,90264-5739.0,Opening-Year-Forecast-poi-90264-5739.0,00:00:00,23:59:59,volume,10870
Design-Year-90264-5739.0,Design-Year-Model-Run,90264-5739.0,Design-Year-Forecast-poi-90264-5739.0,00:00:00,23:59:59,volume,26570
Opening-Year-90264-5740.0,Opening-Year-Model-Run,90264-5740.0,Opening-Year-Forecast-poi-90264-5740.0,00:00:00,23:59:59,volume,9480
Design-Year-90264-5740.0,Design-Year-Model-Run,90264-5740.0,Design-Year-Forecast-poi-90264-5740.0,00:00:00,23:59:59,volume,24950
Opening-Year-90264-5741.0,Opening-Year-Model-Run,90264-5741.0,Opening-Year-Forecast-poi-90264-5741.0,00:00:00,23:59:59,volume,7960
Design-Year-90264-5741.0,Design-Year-Model-Run,90264-5741.0,Design-Year-Forecast-poi-90264-5741.0,00:00:00,23:59:59,volume,15280
Opening-Year-90264-5742.0,Opening-Year-Model-Run,90264-5742.0,Opening-Year-Forecast-poi-90264-5742.0,00:00:00,23:59:59,volume,8460
Design-Year-90264-5742.0,Design-Year-Model-Run,90264-5742.0,Design-Year-Forecast-poi-90264-5742.0,00:00:00,23:59:59,volume,14260
Opening-Year-90264-5743.0,Opening-Year-Model-Run,90264-5743.0,Opening-Year-Forecast-poi-90264-5743.0,00:00:00,23:59:59,volume,12380
Design-Year-90264-5743.0,Design-Year-Model-Run,90264-5743.0,Design-Year-Forecast-poi-90264-5743.0,00:00:00,23:59:59,volume,20260
Opening-Year-90264-5744.0,Opening-Year-Model-Run,90264-5744.0,Opening-Year-Forecast-poi-90264-5744.0,00:00:00,23:59:59,volume,12080
Design-Year-90264-5744.0,Design-Year-Model-Run,90264-5744.0,Design-Year-Forecast-poi-90264-5744.0,00:00:00,23:59:59,volume,19770
Opening-Year-90264-5745.0,Opening-Year-Model-Run,90264-5745.0,Opening-Year-Forecast-poi-90264-5745.0,00:00:00,23:59:59,volume,5440
Design-Year-90264-5745.0,Design-Year-Model-Run,90264-5745.0,Design-Year-Forecast-poi-90264-5745.0,00:00:00,23:59:59,volume,8040
Opening-Year-90264-5746.0,Opening-Year-Model-Run,90264-5746.0,Opening-Year-Forecast-poi-90264-5746.0,00:00:00,23:59:59,volume,3590
Design-Year-90264-5746.0,Design-Year-Model-Run,90264-5746.0,Design-Year-Forecast-poi-90264-5746.0,00:00:00,23:59:59,volume,5180
