forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,91340-4902,Opening Year,00:00:00,23:59:59,volume,7100
f3,1,91340-4902,Design Year,00:00:00,23:59:59,volume,7100
f1,1,91340-4942,Opening Year,00:00:00,23:59:59,volume,2800
f3,1,91340-4942,Design Year,00:00:00,23:59:59,volume,2900
f1,1,91340-4969,Opening Year,00:00:00,23:59:59,volume,3000
f3,1,91340-4969,Design Year,00:00:00,23:59:59,volume,3200
f1,1,91340-4970,Opening Year,00:00:00,23:59:59,volume,2300
f3,1,91340-4970,Design Year,00:00:00,23:59:59,volume,2500
f1,1,91340-4971,Opening Year,00:00:00,23:59:59,volume,2200
f3,1,91340-4971,Design Year,00:00:00,23:59:59,volume,2300
f1,1,91340-4972,Opening Year,00:00:00,23:59:59,volume,1900
f3,1,91340-4972,Design Year,00:00:00,23:59:59,volume,2000
f1,1,91340-4973,Opening Year,00:00:00,23:59:59,volume,1200
f3,1,91340-4973,Design Year,00:00:00,23:59:59,volume,1300
