forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,91516-5573,Opening Year,00:00:00,23:59:59,volume,3700
f3,1,91516-5573,Design Year,00:00:00,23:59:59,volume,3700
f1,1,91516-5574,Opening Year,00:00:00,23:59:59,volume,11000
f3,1,91516-5574,Design Year,00:00:00,23:59:59,volume,11000
f1,1,91516-5575,Opening Year,00:00:00,23:59:59,volume,9800
f3,1,91516-5575,Design Year,00:00:00,23:59:59,volume,9800
f1,1,91516-5576,Opening Year,00:00:00,23:59:59,volume,7000
f3,1,91516-5576,Design Year,00:00:00,23:59:59,volume,7000
f1,1,91516-5577,Opening Year,00:00:00,23:59:59,volume,11000
f3,1,91516-5577,Design Year,00:00:00,23:59:59,volume,11000
f1,1,91516-5578,Opening Year,00:00:00,23:59:59,volume,23000
f3,1,91516-5578,Design Year,00:00:00,23:59:59,volume,23000
f1,1,91516-5579,Opening Year,00:00:00,23:59:59,volume,24000
f3,1,91516-5579,Design Year,00:00:00,23:59:59,volume,24000
f1,1,91516-5580,Opening Year,00:00:00,23:59:59,volume,22000
f3,1,91516-5580,Design Year,00:00:00,23:59:59,volume,23000
f1,1,91516-5610,Opening Year,00:00:00,23:59:59,volume,14000
f3,1,91516-5610,Design Year,00:00:00,23:59:59,volume,14000
f1,1,91516-5611,Opening Year,00:00:00,23:59:59,volume,4200
f3,1,91516-5611,Design Year,00:00:00,23:59:59,volume,4200
f1,1,91516-5612,Opening Year,00:00:00,23:59:59,volume,6100
f3,1,91516-5612,Design Year,00:00:00,23:59:59,volume,6100
