obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
91516-5573.0-1,91516-5573.0,Opening-Year-Forecast-poi-91516-5573.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5574.0-1,91516-5574.0,Opening-Year-Forecast-poi-91516-5574.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5575.0-1,91516-5575.0,Opening-Year-Forecast-poi-91516-5575.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5576.0-1,91516-5576.0,Opening-Year-Forecast-poi-91516-5576.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5577.0-1,91516-5577.0,Opening-Year-Forecast-poi-91516-5577.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5578.0-1,91516-5578.0,Opening-Year-Forecast-poi-91516-5578.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5579.0-1,91516-5579.0,Opening-Year-Forecast-poi-91516-5579.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5580.0-1,91516-5580.0,Opening-Year-Forecast-poi-91516-5580.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5610.0-1,91516-5610.0,Opening-Year-Forecast-poi-91516-5610.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5611.0-1,91516-5611.0,Opening-Year-Forecast-poi-91516-5611.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
91516-5612.0-1,91516-5612.0,Opening-Year-Forecast-poi-91516-5612.0,unknown,unknown,2009,00:00:00,23:59:59,volume,620
