forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,91871-4846,Opening Year,00:00:00,00:00:00,volume,22000
f3,1,91871-4846,Design Year,00:00:00,00:00:00,volume,22000
f1,1,91871-4847,Opening Year,00:00:00,00:00:00,volume,30000
f3,1,91871-4847,Design Year,00:00:00,00:00:00,volume,30000
f1,1,91871-4848,Opening Year,00:00:00,00:00:00,volume,33000
f3,1,91871-4848,Design Year,00:00:00,00:00:00,volume,33000
f1,1,91871-4849,Opening Year,00:00:00,00:00:00,volume,36000
f3,1,91871-4849,Design Year,00:00:00,00:00:00,volume,40000
f1,1,91871-4850,Opening Year,00:00:00,00:00:00,volume,28000
f3,1,91871-4850,Design Year,00:00:00,00:00:00,volume,32000
f1,1,91871-4851,Opening Year,00:00:00,00:00:00,volume,21000
f3,1,91871-4851,Design Year,00:00:00,00:00:00,volume,26000
