forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-92088-5370.0,Opening-Year-Model-Run,92088-5370.0,Opening-Year-Forecast-poi-92088-5370.0,00:00:00,23:59:59,volume,6080
Design-Year-92088-5370.0,Design-Year-Model-Run,92088-5370.0,Design-Year-Forecast-poi-92088-5370.0,00:00:00,23:59:59,volume,7900
Opening-Year-92088-5378.0,Opening-Year-Model-Run,92088-5378.0,Opening-Year-Forecast-poi-92088-5378.0,00:00:00,23:59:59,volume,5100
Design-Year-92088-5378.0,Design-Year-Model-Run,92088-5378.0,Design-Year-Forecast-poi-92088-5378.0,00:00:00,23:59:59,volume,5100
Opening-Year-92088-5379.0,Opening-Year-Model-Run,92088-5379.0,Opening-Year-Forecast-poi-92088-5379.0,00:00:00,23:59:59,volume,8760
Design-Year-92088-5379.0,Design-Year-Model-Run,92088-5379.0,Design-Year-Forecast-poi-92088-5379.0,00:00:00,23:59:59,volume,11350
Opening-Year-92088-5380.0,Opening-Year-Model-Run,92088-5380.0,Opening-Year-Forecast-poi-92088-5380.0,00:00:00,23:59:59,volume,5640
Design-Year-92088-5380.0,Design-Year-Model-Run,92088-5380.0,Design-Year-Forecast-poi-92088-5380.0,00:00:00,23:59:59,volume,7310
Opening-Year-92088-5388.0,Opening-Year-Model-Run,92088-5388.0,Opening-Year-Forecast-poi-92088-5388.0,00:00:00,23:59:59,volume,11900
Design-Year-92088-5388.0,Design-Year-Model-Run,92088-5388.0,Design-Year-Forecast-poi-92088-5388.0,00:00:00,23:59:59,volume,15500
