forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-92895-3897.0,Opening-Year-Model-Run,92895-3897.0,Opening-Year-Forecast-poi-92895-3897.0,00:00:00,23:59:59,volume,45880
Design-Year-92895-3897.0,Design-Year-Model-Run,92895-3897.0,Design-Year-Forecast-poi-92895-3897.0,00:00:00,23:59:59,volume,54620
Opening-Year-92895-3898.0,Opening-Year-Model-Run,92895-3898.0,Opening-Year-Forecast-poi-92895-3898.0,00:00:00,23:59:59,volume,49010
Design-Year-92895-3898.0,Design-Year-Model-Run,92895-3898.0,Design-Year-Forecast-poi-92895-3898.0,00:00:00,23:59:59,volume,58490
Opening-Year-92895-3914.0,Opening-Year-Model-Run,92895-3914.0,Opening-Year-Forecast-poi-92895-3914.0,00:00:00,23:59:59,volume,8750
Design-Year-92895-3914.0,Design-Year-Model-Run,92895-3914.0,Design-Year-Forecast-poi-92895-3914.0,00:00:00,23:59:59,volume,10390
Opening-Year-92895-3915.0,Opening-Year-Model-Run,92895-3915.0,Opening-Year-Forecast-poi-92895-3915.0,00:00:00,23:59:59,volume,7950
Design-Year-92895-3915.0,Design-Year-Model-Run,92895-3915.0,Design-Year-Forecast-poi-92895-3915.0,00:00:00,23:59:59,volume,10180
Opening-Year-92895-3916.0,Opening-Year-Model-Run,92895-3916.0,Opening-Year-Forecast-poi-92895-3916.0,00:00:00,23:59:59,volume,6980
Design-Year-92895-3916.0,Design-Year-Model-Run,92895-3916.0,Design-Year-Forecast-poi-92895-3916.0,00:00:00,23:59:59,volume,9090
Opening-Year-92895-3955.0,Opening-Year-Model-Run,92895-3955.0,Opening-Year-Forecast-poi-92895-3955.0,00:00:00,23:59:59,volume,45910
Design-Year-92895-3955.0,Design-Year-Model-Run,92895-3955.0,Design-Year-Forecast-poi-92895-3955.0,00:00:00,23:59:59,volume,54660
Opening-Year-92895-3956.0,Opening-Year-Model-Run,92895-3956.0,Opening-Year-Forecast-poi-92895-3956.0,00:00:00,23:59:59,volume,46220
Design-Year-92895-3956.0,Design-Year-Model-Run,92895-3956.0,Design-Year-Forecast-poi-92895-3956.0,00:00:00,23:59:59,volume,55180
