forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-92910-4628.0,Opening-Year-Model-Run,92910-4628.0,Opening-Year-Forecast-poi-92910-4628.0,00:00:00,23:59:59,volume,61440
Design-Year-92910-4628.0,Design-Year-Model-Run,92910-4628.0,Design-Year-Forecast-poi-92910-4628.0,00:00:00,23:59:59,volume,63920
Opening-Year-92910-4629.0,Opening-Year-Model-Run,92910-4629.0,Opening-Year-Forecast-poi-92910-4629.0,00:00:00,23:59:59,volume,91052
Design-Year-92910-4629.0,Design-Year-Model-Run,92910-4629.0,Design-Year-Forecast-poi-92910-4629.0,00:00:00,23:59:59,volume,92940
Opening-Year-92910-4648.0,Opening-Year-Model-Run,92910-4648.0,Opening-Year-Forecast-poi-92910-4648.0,00:00:00,23:59:59,volume,24540
Design-Year-92910-4648.0,Design-Year-Model-Run,92910-4648.0,Design-Year-Forecast-poi-92910-4648.0,00:00:00,23:59:59,volume,24590
Opening-Year-92910-4649.0,Opening-Year-Model-Run,92910-4649.0,Opening-Year-Forecast-poi-92910-4649.0,00:00:00,23:59:59,volume,27510
Design-Year-92910-4649.0,Design-Year-Model-Run,92910-4649.0,Design-Year-Forecast-poi-92910-4649.0,00:00:00,23:59:59,volume,27580
Opening-Year-92910-4650.0,Opening-Year-Model-Run,92910-4650.0,Opening-Year-Forecast-poi-92910-4650.0,00:00:00,23:59:59,volume,23760
Design-Year-92910-4650.0,Design-Year-Model-Run,92910-4650.0,Design-Year-Forecast-poi-92910-4650.0,00:00:00,23:59:59,volume,23880
Opening-Year-92910-4656.0,Opening-Year-Model-Run,92910-4656.0,Opening-Year-Forecast-poi-92910-4656.0,00:00:00,23:59:59,volume,116240
Design-Year-92910-4656.0,Design-Year-Model-Run,92910-4656.0,Design-Year-Forecast-poi-92910-4656.0,00:00:00,23:59:59,volume,118130
Opening-Year-92910-4657.0,Opening-Year-Model-Run,92910-4657.0,Opening-Year-Forecast-poi-92910-4657.0,00:00:00,23:59:59,volume,91050
Design-Year-92910-4657.0,Design-Year-Model-Run,92910-4657.0,Design-Year-Forecast-poi-92910-4657.0,00:00:00,23:59:59,volume,92940
Opening-Year-92910-4667.0,Opening-Year-Model-Run,92910-4667.0,Opening-Year-Forecast-poi-92910-4667.0,00:00:00,23:59:59,volume,61440
Design-Year-92910-4667.0,Design-Year-Model-Run,92910-4667.0,Design-Year-Forecast-poi-92910-4667.0,00:00:00,23:59:59,volume,63920
Opening-Year-92910-4668.0,Opening-Year-Model-Run,92910-4668.0,Opening-Year-Forecast-poi-92910-4668.0,00:00:00,23:59:59,volume,24540
Design-Year-92910-4668.0,Design-Year-Model-Run,92910-4668.0,Design-Year-Forecast-poi-92910-4668.0,00:00:00,23:59:59,volume,24590
Opening-Year-92910-4669.0,Opening-Year-Model-Run,92910-4669.0,Opening-Year-Forecast-poi-92910-4669.0,00:00:00,23:59:59,volume,19300
Design-Year-92910-4669.0,Design-Year-Model-Run,92910-4669.0,Design-Year-Forecast-poi-92910-4669.0,00:00:00,23:59:59,volume,19310
Opening-Year-92910-4670.0,Opening-Year-Model-Run,92910-4670.0,Opening-Year-Forecast-poi-92910-4670.0,00:00:00,23:59:59,volume,27510
Design-Year-92910-4670.0,Design-Year-Model-Run,92910-4670.0,Design-Year-Forecast-poi-92910-4670.0,00:00:00,23:59:59,volume,27580
Opening-Year-92910-4671.0,Opening-Year-Model-Run,92910-4671.0,Opening-Year-Forecast-poi-92910-4671.0,00:00:00,23:59:59,volume,28170
Design-Year-92910-4671.0,Design-Year-Model-Run,92910-4671.0,Design-Year-Forecast-poi-92910-4671.0,00:00:00,23:59:59,volume,28240
Opening-Year-92910-4672.0,Opening-Year-Model-Run,92910-4672.0,Opening-Year-Forecast-poi-92910-4672.0,00:00:00,23:59:59,volume,37840
Design-Year-92910-4672.0,Design-Year-Model-Run,92910-4672.0,Design-Year-Forecast-poi-92910-4672.0,00:00:00,23:59:59,volume,37920
Opening-Year-92910-4673.0,Opening-Year-Model-Run,92910-4673.0,Opening-Year-Forecast-poi-92910-4673.0,00:00:00,23:59:59,volume,32810
Design-Year-92910-4673.0,Design-Year-Model-Run,92910-4673.0,Design-Year-Forecast-poi-92910-4673.0,00:00:00,23:59:59,volume,32820
Opening-Year-92910-4674.0,Opening-Year-Model-Run,92910-4674.0,Opening-Year-Forecast-poi-92910-4674.0,00:00:00,23:59:59,volume,22530
Design-Year-92910-4674.0,Design-Year-Model-Run,92910-4674.0,Design-Year-Forecast-poi-92910-4674.0,00:00:00,23:59:59,volume,22550
Opening-Year-92910-4687.0,Opening-Year-Model-Run,92910-4687.0,Opening-Year-Forecast-poi-92910-4687.0,00:00:00,23:59:59,volume,75540
Design-Year-92910-4687.0,Design-Year-Model-Run,92910-4687.0,Design-Year-Forecast-poi-92910-4687.0,00:00:00,23:59:59,volume,77650
Opening-Year-92910-4688.0,Opening-Year-Model-Run,92910-4688.0,Opening-Year-Forecast-poi-92910-4688.0,00:00:00,23:59:59,volume,19110
Design-Year-92910-4688.0,Design-Year-Model-Run,92910-4688.0,Design-Year-Forecast-poi-92910-4688.0,00:00:00,23:59:59,volume,19120
Opening-Year-92910-4689.0,Opening-Year-Model-Run,92910-4689.0,Opening-Year-Forecast-poi-92910-4689.0,00:00:00,23:59:59,volume,23760
