obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
92910-4628-1,92910-4628,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,68753
92910-4628-1,92910-4628,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,68753
92910-4629-1,92910-4629,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,82613
92910-4629-1,92910-4629,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,82613
92910-4648-1,92910-4648,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,19151
92910-4648-1,92910-4648,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,19151
92910-4649-1,92910-4649,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4649-1,92910-4649,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4650-1,92910-4650,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4650-1,92910-4650,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4656-1,92910-4656,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,16473
92910-4656-1,92910-4656,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,16473
92910-4657-1,92910-4657,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4657-1,92910-4657,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4667-1,92910-4667,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,8199
92910-4667-1,92910-4667,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,8199
92910-4668-1,92910-4668,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,19151
92910-4668-1,92910-4668,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,19151
92910-4669-1,92910-4669,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,8199
92910-4669-1,92910-4669,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,8199
92910-4670-1,92910-4670,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4670-1,92910-4670,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4671-1,92910-4671,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4671-1,92910-4671,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4672-1,92910-4672,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4672-1,92910-4672,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4673-1,92910-4673,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4673-1,92910-4673,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4674-1,92910-4674,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4674-1,92910-4674,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,22925
92910-4687-1,92910-4687,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4687-1,92910-4687,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4688-1,92910-4688,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,8199
92910-4688-1,92910-4688,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,8199
92910-4689-1,92910-4689,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4689-1,92910-4689,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4696-1,92910-4696,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
92910-4696-1,92910-4696,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,15888
