obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
92910-4628.0-1,92910-4628.0,Opening-Year-Forecast-poi-92910-4628.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,68753
92910-4629.0-1,92910-4629.0,Opening-Year-Forecast-poi-92910-4629.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,82613
92910-4648.0-1,92910-4648.0,Opening-Year-Forecast-poi-92910-4648.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,19151
92910-4649.0-1,92910-4649.0,Opening-Year-Forecast-poi-92910-4649.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4650.0-1,92910-4650.0,Opening-Year-Forecast-poi-92910-4650.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,15888
92910-4656.0-1,92910-4656.0,Opening-Year-Forecast-poi-92910-4656.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,16473
92910-4657.0-1,92910-4657.0,Opening-Year-Forecast-poi-92910-4657.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4667.0-1,92910-4667.0,Opening-Year-Forecast-poi-92910-4667.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,8199
92910-4668.0-1,92910-4668.0,Opening-Year-Forecast-poi-92910-4668.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,19151
92910-4669.0-1,92910-4669.0,Opening-Year-Forecast-poi-92910-4669.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,8199
92910-4670.0-1,92910-4670.0,Opening-Year-Forecast-poi-92910-4670.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4671.0-1,92910-4671.0,Opening-Year-Forecast-poi-92910-4671.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4672.0-1,92910-4672.0,Opening-Year-Forecast-poi-92910-4672.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4673.0-1,92910-4673.0,Opening-Year-Forecast-poi-92910-4673.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4674.0-1,92910-4674.0,Opening-Year-Forecast-poi-92910-4674.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,22925
92910-4687.0-1,92910-4687.0,Opening-Year-Forecast-poi-92910-4687.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,15888
92910-4688.0-1,92910-4688.0,Opening-Year-Forecast-poi-92910-4688.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,8199
92910-4689.0-1,92910-4689.0,Opening-Year-Forecast-poi-92910-4689.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,15888
92910-4696.0-1,92910-4696.0,Opening-Year-Forecast-poi-92910-4696.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,15888
