obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
93163-5493-1,93163-5493,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5493-1,93163-5493,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5494-1,93163-5494,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5494-1,93163-5494,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5495-1,93163-5495,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5495-1,93163-5495,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5496-1,93163-5496,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5496-1,93163-5496,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5497-1,93163-5497,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
93163-5497-1,93163-5497,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,620
