obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
93576-5564-1,93576-5564,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5564-1,93576-5564,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5565-1,93576-5565,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5565-1,93576-5565,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5566-1,93576-5566,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5566-1,93576-5566,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5567-1,93576-5567,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5567-1,93576-5567,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5568-1,93576-5568,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5568-1,93576-5568,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5569-1,93576-5569,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5569-1,93576-5569,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5570-1,93576-5570,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5570-1,93576-5570,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5571-1,93576-5571,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5571-1,93576-5571,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5572-1,93576-5572,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5572-1,93576-5572,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5609-1,93576-5609,Opening Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
93576-5609-1,93576-5609,Design Year,unknown,unknown,2009,00:00:00,24:00:00,volume,620
