obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
93592-4631-1,93592-4631,Opening Year,unknown,unknown,,00:00,24:00,volume,73725
93592-4631-1,93592-4631,Design Year,unknown,unknown,,00:00,24:00,volume,73725
93592-4632-1,93592-4632,Opening Year,unknown,unknown,,00:00,24:00,volume,81343
93592-4632-1,93592-4632,Design Year,unknown,unknown,,00:00,24:00,volume,81343
93592-4635-1,93592-4635,Opening Year,unknown,unknown,,00:00,24:00,volume,70185
93592-4635-1,93592-4635,Design Year,unknown,unknown,,00:00,24:00,volume,70185
93592-4636-1,93592-4636,Opening Year,unknown,unknown,,00:00,24:00,volume,82196
93592-4636-1,93592-4636,Design Year,unknown,unknown,,00:00,24:00,volume,82196
93592-4637-1,93592-4637,Opening Year,unknown,unknown,,00:00,24:00,volume,10091
93592-4637-1,93592-4637,Design Year,unknown,unknown,,00:00,24:00,volume,10091
93592-4638-1,93592-4638,Opening Year,unknown,unknown,,00:00,24:00,volume,20360
93592-4638-1,93592-4638,Design Year,unknown,unknown,,00:00,24:00,volume,20360
93592-5340-1,93592-5340,Opening Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5340-1,93592-5340,Design Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5341-1,93592-5341,Opening Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5341-1,93592-5341,Design Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5342-1,93592-5342,Opening Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5342-1,93592-5342,Design Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5343-1,93592-5343,Opening Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5343-1,93592-5343,Design Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5344-1,93592-5344,Opening Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5344-1,93592-5344,Design Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5345-1,93592-5345,Opening Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5345-1,93592-5345,Design Year,unknown,unknown,,00:00,24:00,volume,6352
93592-5382-1,93592-5382,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5382-1,93592-5382,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5383-1,93592-5383,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5383-1,93592-5383,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5384-1,93592-5384,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5384-1,93592-5384,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5385-1,93592-5385,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5385-1,93592-5385,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5386-1,93592-5386,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5386-1,93592-5386,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5387-1,93592-5387,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5387-1,93592-5387,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5394-1,93592-5394,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5394-1,93592-5394,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5395-1,93592-5395,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5395-1,93592-5395,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5399-1,93592-5399,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5399-1,93592-5399,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5400-1,93592-5400,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5400-1,93592-5400,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5432-1,93592-5432,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5432-1,93592-5432,Design Year,unknown,unknown,,00:00,24:00,volume,620
93592-5433-1,93592-5433,Opening Year,unknown,unknown,,00:00,24:00,volume,620
93592-5433-1,93592-5433,Design Year,unknown,unknown,,00:00,24:00,volume,620
