forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,94179-5806,Opening Year,00:00,24:00,volume,49000
f3,1,94179-5806,Design Year,00:00,24:00,volume,60000
f1,1,94179-5833,Opening Year,00:00,24:00,volume,5100
f3,1,94179-5833,Design Year,00:00,24:00,volume,7600
f1,1,94179-5838,Opening Year,00:00,24:00,volume,5100
f3,1,94179-5838,Design Year,00:00,24:00,volume,5600
f1,1,94179-5844,Opening Year,00:00,24:00,volume,17000
f3,1,94179-5844,Design Year,00:00,24:00,volume,20000
f1,1,94179-5845,Opening Year,00:00,24:00,volume,16000
f3,1,94179-5845,Design Year,00:00,24:00,volume,20000
f1,1,94179-5846,Opening Year,00:00,24:00,volume,7400
f3,1,94179-5846,Design Year,00:00,24:00,volume,9600
f1,1,94179-5847,Opening Year,00:00,24:00,volume,9000
f3,1,94179-5847,Design Year,00:00,24:00,volume,9600
f1,1,94179-5857,Opening Year,00:00,24:00,volume,4600
f3,1,94179-5857,Design Year,00:00,24:00,volume,5600
f1,1,94179-5859,Opening Year,00:00,24:00,volume,3200
f3,1,94179-5859,Design Year,00:00,24:00,volume,3200
f1,1,94179-5861,Opening Year,00:00,24:00,volume,5000
f3,1,94179-5861,Design Year,00:00,24:00,volume,6500
f1,1,94179-5862,Opening Year,00:00,24:00,volume,7400
f3,1,94179-5862,Design Year,00:00,24:00,volume,11000
f1,1,94179-5865,Opening Year,00:00,24:00,volume,2000
f3,1,94179-5865,Design Year,00:00,24:00,volume,3000
f1,1,94179-5871,Opening Year,00:00,24:00,volume,3800
f3,1,94179-5871,Design Year,00:00,24:00,volume,5500
f1,1,94179-5872,Opening Year,00:00,24:00,volume,1100
f3,1,94179-5872,Design Year,00:00,24:00,volume,1300
f1,1,94179-5873,Opening Year,00:00,24:00,volume,810
f3,1,94179-5873,Design Year,00:00,24:00,volume,870
f1,1,94179-5874,Opening Year,00:00,24:00,volume,1700
f3,1,94179-5874,Design Year,00:00,24:00,volume,1700
f1,1,94179-5875,Opening Year,00:00,24:00,volume,1700
f3,1,94179-5875,Design Year,00:00,24:00,volume,1700
f1,1,94179-5876,Opening Year,00:00,24:00,volume,7800
f3,1,94179-5876,Design Year,00:00,24:00,volume,11000
