obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
94189-4459-1,94189-4459,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,9074
94189-4459-1,94189-4459,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,9074
94189-4460-1,94189-4460,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,5655
94189-4460-1,94189-4460,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,5655
94189-4461-1,94189-4461,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,5647
94189-4461-1,94189-4461,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,5647
94189-4472-1,94189-4472,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,5924
94189-4472-1,94189-4472,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,5924
94189-4473-1,94189-4473,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,2333
94189-4473-1,94189-4473,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,2333
94189-4474-1,94189-4474,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,936
94189-4474-1,94189-4474,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,936
