forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-94191-4156.0,Opening-Year-Model-Run,94191-4156.0,Opening-Year-Forecast-poi-94191-4156.0,00:00:00,23:59:59,volume,6100
Design-Year-94191-4156.0,Design-Year-Model-Run,94191-4156.0,Design-Year-Forecast-poi-94191-4156.0,00:00:00,23:59:59,volume,6700
Opening-Year-94191-4200.0,Opening-Year-Model-Run,94191-4200.0,Opening-Year-Forecast-poi-94191-4200.0,00:00:00,23:59:59,volume,7200
Design-Year-94191-4200.0,Design-Year-Model-Run,94191-4200.0,Design-Year-Forecast-poi-94191-4200.0,00:00:00,23:59:59,volume,8500
Opening-Year-94191-4201.0,Opening-Year-Model-Run,94191-4201.0,Opening-Year-Forecast-poi-94191-4201.0,00:00:00,23:59:59,volume,7300
Design-Year-94191-4201.0,Design-Year-Model-Run,94191-4201.0,Design-Year-Forecast-poi-94191-4201.0,00:00:00,23:59:59,volume,8900
Opening-Year-94191-4202.0,Opening-Year-Model-Run,94191-4202.0,Opening-Year-Forecast-poi-94191-4202.0,00:00:00,23:59:59,volume,8400
Design-Year-94191-4202.0,Design-Year-Model-Run,94191-4202.0,Design-Year-Forecast-poi-94191-4202.0,00:00:00,23:59:59,volume,11000
Opening-Year-94191-4203.0,Opening-Year-Model-Run,94191-4203.0,Opening-Year-Forecast-poi-94191-4203.0,00:00:00,23:59:59,volume,11000
Design-Year-94191-4203.0,Design-Year-Model-Run,94191-4203.0,Design-Year-Forecast-poi-94191-4203.0,00:00:00,23:59:59,volume,13000
