forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-94724-2900.0,Opening-Year-Model-Run,94724-2900.0,Opening-Year-Forecast-poi-94724-2900.0,00:00:00,23:59:59,volume,36040
Design-Year-94724-2900.0,Design-Year-Model-Run,94724-2900.0,Design-Year-Forecast-poi-94724-2900.0,00:00:00,23:59:59,volume,36040
Opening-Year-94724-2901.0,Opening-Year-Model-Run,94724-2901.0,Opening-Year-Forecast-poi-94724-2901.0,00:00:00,23:59:59,volume,26820
Design-Year-94724-2901.0,Design-Year-Model-Run,94724-2901.0,Design-Year-Forecast-poi-94724-2901.0,00:00:00,23:59:59,volume,26820
Opening-Year-94724-2902.0,Opening-Year-Model-Run,94724-2902.0,Opening-Year-Forecast-poi-94724-2902.0,00:00:00,23:59:59,volume,22010
Design-Year-94724-2902.0,Design-Year-Model-Run,94724-2902.0,Design-Year-Forecast-poi-94724-2902.0,00:00:00,23:59:59,volume,22010
Opening-Year-94724-2903.0,Opening-Year-Model-Run,94724-2903.0,Opening-Year-Forecast-poi-94724-2903.0,00:00:00,23:59:59,volume,20480
Design-Year-94724-2903.0,Design-Year-Model-Run,94724-2903.0,Design-Year-Forecast-poi-94724-2903.0,00:00:00,23:59:59,volume,20480
Opening-Year-94724-2904.0,Opening-Year-Model-Run,94724-2904.0,Opening-Year-Forecast-poi-94724-2904.0,00:00:00,23:59:59,volume,25560
Design-Year-94724-2904.0,Design-Year-Model-Run,94724-2904.0,Design-Year-Forecast-poi-94724-2904.0,00:00:00,23:59:59,volume,25560
Opening-Year-94724-2905.0,Opening-Year-Model-Run,94724-2905.0,Opening-Year-Forecast-poi-94724-2905.0,00:00:00,23:59:59,volume,21350
Design-Year-94724-2905.0,Design-Year-Model-Run,94724-2905.0,Design-Year-Forecast-poi-94724-2905.0,00:00:00,23:59:59,volume,21350
