obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
95875-4109-1,95875-4109,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,77368
95875-4109-1,95875-4109,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,77368
95875-4110-1,95875-4110,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,39370
95875-4110-1,95875-4110,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,39370
95875-4111-1,95875-4111,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,69789
95875-4111-1,95875-4111,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,69789
95875-4112-1,95875-4112,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,69789
95875-4112-1,95875-4112,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,69789
95875-4113-1,95875-4113,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,79061
95875-4113-1,95875-4113,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,79061
95875-4114-1,95875-4114,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,61420
95875-4114-1,95875-4114,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,61420
95875-4115-1,95875-4115,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,69789
95875-4115-1,95875-4115,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,69789
95875-4116-1,95875-4116,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,79061
95875-4116-1,95875-4116,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,79061
