forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,96670-5979,Opening Year,00:00:00,00:00:00,volume,70410
f3,1,96670-5979,Design Year,00:00:00,00:00:00,volume,90280
f1,1,96670-5980,Opening Year,00:00:00,00:00:00,volume,73800
f3,1,96670-5980,Design Year,00:00:00,00:00:00,volume,93600
f1,1,96670-5981,Opening Year,00:00:00,00:00:00,volume,68400
f3,1,96670-5981,Design Year,00:00:00,00:00:00,volume,87100
f1,1,96670-5982,Opening Year,00:00:00,00:00:00,volume,77200
f3,1,96670-5982,Design Year,00:00:00,00:00:00,volume,97400
f1,1,96670-5983,Opening Year,00:00:00,00:00:00,volume,67770
f3,1,96670-5983,Design Year,00:00:00,00:00:00,volume,91360
