obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
96947-4136-1,96947-4136,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,16699
96947-4136-1,96947-4136,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,16699
96947-4137-1,96947-4137,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4137-1,96947-4137,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4138-1,96947-4138,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4138-1,96947-4138,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4139-1,96947-4139,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4139-1,96947-4139,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4140-1,96947-4140,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4140-1,96947-4140,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4141-1,96947-4141,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4141-1,96947-4141,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4142-1,96947-4142,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4142-1,96947-4142,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4143-1,96947-4143,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4143-1,96947-4143,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4144-1,96947-4144,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4144-1,96947-4144,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4145-1,96947-4145,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4145-1,96947-4145,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4146-1,96947-4146,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4146-1,96947-4146,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,23141
96947-4182-1,96947-4182,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,12082
96947-4182-1,96947-4182,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,12082
96947-4183-1,96947-4183,Opening Year,unknown,unknown,2015,00:00:00,24:00:00,volume,12298
96947-4183-1,96947-4183,Design Year,unknown,unknown,2015,00:00:00,24:00:00,volume,12298
