poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
97178-4764,", , ROS5021.76",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.76"
97178-4764,", , ROS5021.76",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.76"
97178-4765,", , ROS5021.82",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.82"
97178-4765,", , ROS5021.82",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.82"
97178-4766,", , ROS5021.94",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.94"
97178-4766,", , ROS5021.94",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.94"
97178-4767,", , ROS5021.99",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.99"
97178-4767,", , ROS5021.99",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5021.99"
97178-4768,", , ROS5022.27",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.27"
97178-4768,", , ROS5022.27",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.27"
97178-4769,", , ROS5022.34",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.34"
97178-4769,", , ROS5022.34",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.34"
97178-4770,", , ROS5022.41",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.41"
97178-4770,", , ROS5022.41",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.41"
97178-4771,", , ROS5022.47",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.47"
97178-4771,", , ROS5022.47",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.47"
97178-4772,", , ROS5022.63",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.63"
97178-4772,", , ROS5022.63",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.63"
97178-4773,", , ROS5022.69",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.69"
97178-4773,", , ROS5022.69",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5022.69"
97178-4774,", , ROS5023.06",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5023.06"
97178-4774,", , ROS5023.06",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5023.06"
97178-4775,", , ROS5023.13",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5023.13"
97178-4775,", , ROS5023.13",4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,", , ROS5023.13"
