obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
97178-4764.0-1,97178-4764.0,Opening-Year-Forecast-poi-97178-4764.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4765.0-1,97178-4765.0,Opening-Year-Forecast-poi-97178-4765.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4766.0-1,97178-4766.0,Opening-Year-Forecast-poi-97178-4766.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4767.0-1,97178-4767.0,Opening-Year-Forecast-poi-97178-4767.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4768.0-1,97178-4768.0,Opening-Year-Forecast-poi-97178-4768.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4769.0-1,97178-4769.0,Opening-Year-Forecast-poi-97178-4769.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4770.0-1,97178-4770.0,Opening-Year-Forecast-poi-97178-4770.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4771.0-1,97178-4771.0,Opening-Year-Forecast-poi-97178-4771.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4772.0-1,97178-4772.0,Opening-Year-Forecast-poi-97178-4772.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4773.0-1,97178-4773.0,Opening-Year-Forecast-poi-97178-4773.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4774.0-1,97178-4774.0,Opening-Year-Forecast-poi-97178-4774.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,18408
97178-4775.0-1,97178-4775.0,Opening-Year-Forecast-poi-97178-4775.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,10460
