forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-97724-2994.0,Opening-Year-Model-Run,97724-2994.0,Opening-Year-Forecast-poi-97724-2994.0,00:00:00,23:59:59,volume,37000
Design-Year-97724-2994.0,Design-Year-Model-Run,97724-2994.0,Design-Year-Forecast-poi-97724-2994.0,00:00:00,23:59:59,volume,50000
Opening-Year-97724-2995.0,Opening-Year-Model-Run,97724-2995.0,Opening-Year-Forecast-poi-97724-2995.0,00:00:00,23:59:59,volume,37000
Design-Year-97724-2995.0,Design-Year-Model-Run,97724-2995.0,Design-Year-Forecast-poi-97724-2995.0,00:00:00,23:59:59,volume,47000
Opening-Year-97724-2996.0,Opening-Year-Model-Run,97724-2996.0,Opening-Year-Forecast-poi-97724-2996.0,00:00:00,23:59:59,volume,34000
Design-Year-97724-2996.0,Design-Year-Model-Run,97724-2996.0,Design-Year-Forecast-poi-97724-2996.0,00:00:00,23:59:59,volume,49000
Opening-Year-97724-2997.0,Opening-Year-Model-Run,97724-2997.0,Opening-Year-Forecast-poi-97724-2997.0,00:00:00,23:59:59,volume,34000
Design-Year-97724-2997.0,Design-Year-Model-Run,97724-2997.0,Design-Year-Forecast-poi-97724-2997.0,00:00:00,23:59:59,volume,49000
Opening-Year-97724-2998.0,Opening-Year-Model-Run,97724-2998.0,Opening-Year-Forecast-poi-97724-2998.0,00:00:00,23:59:59,volume,34000
Design-Year-97724-2998.0,Design-Year-Model-Run,97724-2998.0,Design-Year-Forecast-poi-97724-2998.0,00:00:00,23:59:59,volume,49000
Opening-Year-97724-2999.0,Opening-Year-Model-Run,97724-2999.0,Opening-Year-Forecast-poi-97724-2999.0,00:00:00,23:59:59,volume,37000
Design-Year-97724-2999.0,Design-Year-Model-Run,97724-2999.0,Design-Year-Forecast-poi-97724-2999.0,00:00:00,23:59:59,volume,53000
Opening-Year-97724-3000.0,Opening-Year-Model-Run,97724-3000.0,Opening-Year-Forecast-poi-97724-3000.0,00:00:00,23:59:59,volume,40000
Design-Year-97724-3000.0,Design-Year-Model-Run,97724-3000.0,Design-Year-Forecast-poi-97724-3000.0,00:00:00,23:59:59,volume,55000
Opening-Year-97724-3001.0,Opening-Year-Model-Run,97724-3001.0,Opening-Year-Forecast-poi-97724-3001.0,00:00:00,23:59:59,volume,37000
Design-Year-97724-3001.0,Design-Year-Model-Run,97724-3001.0,Design-Year-Forecast-poi-97724-3001.0,00:00:00,23:59:59,volume,44000
Opening-Year-97724-3002.0,Opening-Year-Model-Run,97724-3002.0,Opening-Year-Forecast-poi-97724-3002.0,00:00:00,23:59:59,volume,37000
Design-Year-97724-3002.0,Design-Year-Model-Run,97724-3002.0,Design-Year-Forecast-poi-97724-3002.0,00:00:00,23:59:59,volume,43000
Opening-Year-97724-3003.0,Opening-Year-Model-Run,97724-3003.0,Opening-Year-Forecast-poi-97724-3003.0,00:00:00,23:59:59,volume,34000
Design-Year-97724-3003.0,Design-Year-Model-Run,97724-3003.0,Design-Year-Forecast-poi-97724-3003.0,00:00:00,23:59:59,volume,42000
Opening-Year-97724-3004.0,Opening-Year-Model-Run,97724-3004.0,Opening-Year-Forecast-poi-97724-3004.0,00:00:00,23:59:59,volume,34000
Design-Year-97724-3004.0,Design-Year-Model-Run,97724-3004.0,Design-Year-Forecast-poi-97724-3004.0,00:00:00,23:59:59,volume,42000
Opening-Year-97724-3005.0,Opening-Year-Model-Run,97724-3005.0,Opening-Year-Forecast-poi-97724-3005.0,00:00:00,23:59:59,volume,34000
Design-Year-97724-3005.0,Design-Year-Model-Run,97724-3005.0,Design-Year-Forecast-poi-97724-3005.0,00:00:00,23:59:59,volume,42000
Opening-Year-97724-3006.0,Opening-Year-Model-Run,97724-3006.0,Opening-Year-Forecast-poi-97724-3006.0,00:00:00,23:59:59,volume,37000
Design-Year-97724-3006.0,Design-Year-Model-Run,97724-3006.0,Design-Year-Forecast-poi-97724-3006.0,00:00:00,23:59:59,volume,46000
Opening-Year-97724-3007.0,Opening-Year-Model-Run,97724-3007.0,Opening-Year-Forecast-poi-97724-3007.0,00:00:00,23:59:59,volume,40000
Design-Year-97724-3007.0,Design-Year-Model-Run,97724-3007.0,Design-Year-Forecast-poi-97724-3007.0,00:00:00,23:59:59,volume,48000
