forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,97881-3713,Opening Year,00:00,24:00,volume,4370
f3,1,97881-3713,Design Year,00:00,24:00,volume,6960
f1,1,97881-3714,Opening Year,00:00,24:00,volume,8560
f3,1,97881-3714,Design Year,00:00,24:00,volume,12460
f1,1,97881-3715,Opening Year,00:00,24:00,volume,3290
f3,1,97881-3715,Design Year,00:00,24:00,volume,5640
f1,1,97881-3730,Opening Year,00:00,24:00,volume,4920
f3,1,97881-3730,Design Year,00:00,24:00,volume,4930
f1,1,97881-3731,Opening Year,00:00,24:00,volume,6480
f3,1,97881-3731,Design Year,00:00,24:00,volume,8120
f1,1,97881-3732,Opening Year,00:00,24:00,volume,4360
f3,1,97881-3732,Design Year,00:00,24:00,volume,6400
f1,1,97881-3740,Opening Year,00:00,24:00,volume,5840
f3,1,97881-3740,Design Year,00:00,24:00,volume,6490
f1,1,97881-3741,Opening Year,00:00,24:00,volume,11220
f3,1,97881-3741,Design Year,00:00,24:00,volume,11870
f1,1,97881-3742,Opening Year,00:00,24:00,volume,7020
f3,1,97881-3742,Design Year,00:00,24:00,volume,9480
f1,1,97881-3743,Opening Year,00:00,24:00,volume,11460
f3,1,97881-3743,Design Year,00:00,24:00,volume,13510
f1,1,97881-3744,Opening Year,00:00,24:00,volume,10480
f3,1,97881-3744,Design Year,00:00,24:00,volume,12340
f1,1,97881-3745,Opening Year,00:00,24:00,volume,10820
f3,1,97881-3745,Design Year,00:00,24:00,volume,12710
f1,1,97881-3746,Opening Year,00:00,24:00,volume,12590
f3,1,97881-3746,Design Year,00:00,24:00,volume,14550
f1,1,97881-3747,Opening Year,00:00,24:00,volume,12880
f3,1,97881-3747,Design Year,00:00,24:00,volume,14840
f1,1,97881-3748,Opening Year,00:00,24:00,volume,12880
f3,1,97881-3748,Design Year,00:00,24:00,volume,14480
f1,1,97881-3749,Opening Year,00:00,24:00,volume,13150
f3,1,97881-3749,Design Year,00:00,24:00,volume,15130
f1,1,97881-3751,Opening Year,00:00,24:00,volume,6410
f3,1,97881-3751,Design Year,00:00,24:00,volume,7700
f1,1,97881-3752,Opening Year,00:00,24:00,volume,6740
f3,1,97881-3752,Design Year,00:00,24:00,volume,8100
f1,1,97881-3753,Opening Year,00:00,24:00,volume,12560
f3,1,97881-3753,Design Year,00:00,24:00,volume,15070
f1,1,97881-3754,Opening Year,00:00,24:00,volume,6450
f3,1,97881-3754,Design Year,00:00,24:00,volume,7740
f1,1,97881-3755,Opening Year,00:00,24:00,volume,12740
f3,1,97881-3755,Design Year,00:00,24:00,volume,15280
f1,1,97881-3756,Opening Year,00:00,24:00,volume,12330
f3,1,97881-3756,Design Year,00:00,24:00,volume,14800
f1,1,97881-3759,Opening Year,00:00,24:00,volume,8170
f3,1,97881-3759,Design Year,00:00,24:00,volume,11170
f1,1,97881-3760,Opening Year,00:00,24:00,volume,8210
f3,1,97881-3760,Design Year,00:00,24:00,volume,11210
f1,1,97881-3761,Opening Year,00:00,24:00,volume,7940
f3,1,97881-3761,Design Year,00:00,24:00,volume,9230
f1,1,97881-3762,Opening Year,00:00,24:00,volume,5830
f3,1,97881-3762,Design Year,00:00,24:00,volume,7060
f1,1,97881-3763,Opening Year,00:00,24:00,volume,5610
f3,1,97881-3763,Design Year,00:00,24:00,volume,7230
f1,1,97881-3764,Opening Year,00:00,24:00,volume,5680
f3,1,97881-3764,Design Year,00:00,24:00,volume,7300
f1,1,97881-3765,Opening Year,00:00,24:00,volume,3030
f3,1,97881-3765,Design Year,00:00,24:00,volume,3970
f1,1,97881-3766,Opening Year,00:00,24:00,volume,3300
f3,1,97881-3766,Design Year,00:00,24:00,volume,4390
f1,1,97881-3767,Opening Year,00:00,24:00,volume,2680
f3,1,97881-3767,Design Year,00:00,24:00,volume,3230
f1,1,97881-3768,Opening Year,00:00,24:00,volume,3010
f3,1,97881-3768,Design Year,00:00,24:00,volume,3630
f1,1,97881-3769,Opening Year,00:00,24:00,volume,3550
f3,1,97881-3769,Design Year,00:00,24:00,volume,4270
f1,1,97881-3770,Opening Year,00:00,24:00,volume,5170
f3,1,97881-3770,Design Year,00:00,24:00,volume,6570
f1,1,97881-3771,Opening Year,00:00,24:00,volume,6000
f3,1,97881-3771,Design Year,00:00,24:00,volume,7800
f1,1,97881-3772,Opening Year,00:00,24:00,volume,4650
