poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
97881-3713.0, STA620.82,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, STA620.82
97881-3714.0, STA620.9,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, STA620.9
97881-3715.0, STA620.96,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, STA620.96
97881-3730.0, ASD6019.68,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD6019.68
97881-3731.0, ASD25012.59,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD25012.59
97881-3732.0, ASD25012.85,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD25012.85
97881-3740.0, TUS210.08,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS210.08
97881-3741.0, TUS2500.03,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2500.03
97881-3742.0, TUS2502.11,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2502.11
97881-3743.0, TUS2502.27,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2502.27
97881-3744.0, TUS2503.27,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2503.27
97881-3745.0, TUS2503.37,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2503.37
97881-3746.0, TUS2504.3,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2504.3
97881-3747.0, TUS2504.37,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2504.37
97881-3748.0, TUS2504.41,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2504.41
97881-3749.0, TUS2504.46,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, TUS2504.46
97881-3751.0, HUR6118.74,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR6118.74
97881-3752.0, HUR6118.84,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR6118.84
97881-3753.0, HUR2502.87,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR2502.87
97881-3754.0, HUR2502.97,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR2502.97
97881-3755.0, HUR2503.31,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR2503.31
97881-3756.0, HUR2503.39,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR2503.39
97881-3759.0, HAS2220.5,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HAS2220.5
97881-3760.0, HAS2220.62,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HAS2220.62
97881-3761.0, HAS2500.68,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HAS2500.68
97881-3762.0, HAS2500.86,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HAS2500.86
97881-3763.0, HAS2509.19,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HAS2509.19
97881-3764.0, HAS2509.41,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HAS2509.41
97881-3765.0, ASD2240.83,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD2240.83
97881-3766.0, ASD2241.02,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD2241.02
97881-3767.0, ASD2501.48,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD2501.48
97881-3768.0, ASD2501.73,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD2501.73
97881-3769.0, ASD2506.12,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD2506.12
97881-3770.0, ASD2506.38,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD2506.38
97881-3771.0, ASD25020.31,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD25020.31
97881-3772.0, ASD25020.46,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, ASD25020.46
97881-3773.0, HUR25010.5,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR25010.5
97881-3774.0, HUR25010.63,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR25010.63
97881-3775.0, HUR25015.46,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR25015.46
97881-3776.0, HUR25015.56,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, HUR25015.56
97881-3777.0, STA2501.15,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, STA2501.15
97881-3778.0, STA2501.31,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, STA2501.31
97881-3779.0, WAY25026.82,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAY25026.82
97881-3780.0, WAY25027.02,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAY25027.02
97881-3781.0, WAY25027.02,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAY25027.02
97881-3782.0, WAY25027.09,3-Principal Arterial,,,rural,Principal Arterial,Principal Arterial,,Ohio,OhioDOT, WAY25027.09
97881-3795.0, HUR137.02,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, HUR137.02
97881-3809.0, HAS1510.11,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, HAS1510.11
97881-3810.0, HAS6460.11,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, HAS6460.11
97881-3811.0, ASD6026.4,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, ASD6026.4
97881-3812.0, ASD898.87,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, ASD898.87
97881-3813.0, ASD899,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, ASD899
97881-3814.0, WAY940.11,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, WAY940.11
97881-3815.0, WAY2412.52,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, WAY2412.52
97881-3816.0, WAY2412.92,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, WAY2412.92
