forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-97939-4206.0,Opening-Year-Model-Run,97939-4206.0,Opening-Year-Forecast-poi-97939-4206.0,00:00:00,23:59:59,volume,6870
Design-Year-97939-4206.0,Design-Year-Model-Run,97939-4206.0,Design-Year-Forecast-poi-97939-4206.0,00:00:00,23:59:59,volume,6870
Opening-Year-97939-4207.0,Opening-Year-Model-Run,97939-4207.0,Opening-Year-Forecast-poi-97939-4207.0,00:00:00,23:59:59,volume,10470
Design-Year-97939-4207.0,Design-Year-Model-Run,97939-4207.0,Design-Year-Forecast-poi-97939-4207.0,00:00:00,23:59:59,volume,10470
Opening-Year-97939-4208.0,Opening-Year-Model-Run,97939-4208.0,Opening-Year-Forecast-poi-97939-4208.0,00:00:00,23:59:59,volume,10800
Design-Year-97939-4208.0,Design-Year-Model-Run,97939-4208.0,Design-Year-Forecast-poi-97939-4208.0,00:00:00,23:59:59,volume,10800
Opening-Year-97939-4209.0,Opening-Year-Model-Run,97939-4209.0,Opening-Year-Forecast-poi-97939-4209.0,00:00:00,23:59:59,volume,11360
Design-Year-97939-4209.0,Design-Year-Model-Run,97939-4209.0,Design-Year-Forecast-poi-97939-4209.0,00:00:00,23:59:59,volume,11360
Opening-Year-97939-4210.0,Opening-Year-Model-Run,97939-4210.0,Opening-Year-Forecast-poi-97939-4210.0,00:00:00,23:59:59,volume,11260
Design-Year-97939-4210.0,Design-Year-Model-Run,97939-4210.0,Design-Year-Forecast-poi-97939-4210.0,00:00:00,23:59:59,volume,11260
Opening-Year-97939-4211.0,Opening-Year-Model-Run,97939-4211.0,Opening-Year-Forecast-poi-97939-4211.0,00:00:00,23:59:59,volume,11840
Design-Year-97939-4211.0,Design-Year-Model-Run,97939-4211.0,Design-Year-Forecast-poi-97939-4211.0,00:00:00,23:59:59,volume,11840
Opening-Year-97939-4212.0,Opening-Year-Model-Run,97939-4212.0,Opening-Year-Forecast-poi-97939-4212.0,00:00:00,23:59:59,volume,11000
Design-Year-97939-4212.0,Design-Year-Model-Run,97939-4212.0,Design-Year-Forecast-poi-97939-4212.0,00:00:00,23:59:59,volume,11000
Opening-Year-97939-4213.0,Opening-Year-Model-Run,97939-4213.0,Opening-Year-Forecast-poi-97939-4213.0,00:00:00,23:59:59,volume,12220
Design-Year-97939-4213.0,Design-Year-Model-Run,97939-4213.0,Design-Year-Forecast-poi-97939-4213.0,00:00:00,23:59:59,volume,12220
Opening-Year-97939-4269.0,Opening-Year-Model-Run,97939-4269.0,Opening-Year-Forecast-poi-97939-4269.0,00:00:00,23:59:59,volume,4360
Design-Year-97939-4269.0,Design-Year-Model-Run,97939-4269.0,Design-Year-Forecast-poi-97939-4269.0,00:00:00,23:59:59,volume,4360
