obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
97939-4206-1,97939-4206,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,7643
97939-4206-1,97939-4206,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,7643
97939-4207-1,97939-4207,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4207-1,97939-4207,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4208-1,97939-4208,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4208-1,97939-4208,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4209-1,97939-4209,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4209-1,97939-4209,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4210-1,97939-4210,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4210-1,97939-4210,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4211-1,97939-4211,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4211-1,97939-4211,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4212-1,97939-4212,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4212-1,97939-4212,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4213-1,97939-4213,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4213-1,97939-4213,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,11880
97939-4269-1,97939-4269,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,4284
97939-4269-1,97939-4269,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,4284
