forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-99730-3686.0,Opening-Year-Model-Run,99730-3686.0,Opening-Year-Forecast-poi-99730-3686.0,00:00:00,23:59:59,volume,135000
Design-Year-99730-3686.0,Design-Year-Model-Run,99730-3686.0,Design-Year-Forecast-poi-99730-3686.0,00:00:00,23:59:59,volume,157000
Opening-Year-99730-3687.0,Opening-Year-Model-Run,99730-3687.0,Opening-Year-Forecast-poi-99730-3687.0,00:00:00,23:59:59,volume,150000
Design-Year-99730-3687.0,Design-Year-Model-Run,99730-3687.0,Design-Year-Forecast-poi-99730-3687.0,00:00:00,23:59:59,volume,173000
Opening-Year-99730-3688.0,Opening-Year-Model-Run,99730-3688.0,Opening-Year-Forecast-poi-99730-3688.0,00:00:00,23:59:59,volume,66000
Design-Year-99730-3688.0,Design-Year-Model-Run,99730-3688.0,Design-Year-Forecast-poi-99730-3688.0,00:00:00,23:59:59,volume,70000
Opening-Year-99730-3689.0,Opening-Year-Model-Run,99730-3689.0,Opening-Year-Forecast-poi-99730-3689.0,00:00:00,23:59:59,volume,69000
Design-Year-99730-3689.0,Design-Year-Model-Run,99730-3689.0,Design-Year-Forecast-poi-99730-3689.0,00:00:00,23:59:59,volume,74000
Opening-Year-99730-3690.0,Opening-Year-Model-Run,99730-3690.0,Opening-Year-Forecast-poi-99730-3690.0,00:00:00,23:59:59,volume,79000
Design-Year-99730-3690.0,Design-Year-Model-Run,99730-3690.0,Design-Year-Forecast-poi-99730-3690.0,00:00:00,23:59:59,volume,84000
Opening-Year-99730-3691.0,Opening-Year-Model-Run,99730-3691.0,Opening-Year-Forecast-poi-99730-3691.0,00:00:00,23:59:59,volume,94000
Design-Year-99730-3691.0,Design-Year-Model-Run,99730-3691.0,Design-Year-Forecast-poi-99730-3691.0,00:00:00,23:59:59,volume,97000
Opening-Year-99730-3692.0,Opening-Year-Model-Run,99730-3692.0,Opening-Year-Forecast-poi-99730-3692.0,00:00:00,23:59:59,volume,124000
Design-Year-99730-3692.0,Design-Year-Model-Run,99730-3692.0,Design-Year-Forecast-poi-99730-3692.0,00:00:00,23:59:59,volume,125000
Opening-Year-99730-3693.0,Opening-Year-Model-Run,99730-3693.0,Opening-Year-Forecast-poi-99730-3693.0,00:00:00,23:59:59,volume,113000
Design-Year-99730-3693.0,Design-Year-Model-Run,99730-3693.0,Design-Year-Forecast-poi-99730-3693.0,00:00:00,23:59:59,volume,118000
Opening-Year-99730-3694.0,Opening-Year-Model-Run,99730-3694.0,Opening-Year-Forecast-poi-99730-3694.0,00:00:00,23:59:59,volume,101000
Design-Year-99730-3694.0,Design-Year-Model-Run,99730-3694.0,Design-Year-Forecast-poi-99730-3694.0,00:00:00,23:59:59,volume,107000
Opening-Year-99730-3695.0,Opening-Year-Model-Run,99730-3695.0,Opening-Year-Forecast-poi-99730-3695.0,00:00:00,23:59:59,volume,109000
Design-Year-99730-3695.0,Design-Year-Model-Run,99730-3695.0,Design-Year-Forecast-poi-99730-3695.0,00:00:00,23:59:59,volume,113000
Opening-Year-99730-3696.0,Opening-Year-Model-Run,99730-3696.0,Opening-Year-Forecast-poi-99730-3696.0,00:00:00,23:59:59,volume,117000
Design-Year-99730-3696.0,Design-Year-Model-Run,99730-3696.0,Design-Year-Forecast-poi-99730-3696.0,00:00:00,23:59:59,volume,117000
Opening-Year-99730-3697.0,Opening-Year-Model-Run,99730-3697.0,Opening-Year-Forecast-poi-99730-3697.0,00:00:00,23:59:59,volume,134000
Design-Year-99730-3697.0,Design-Year-Model-Run,99730-3697.0,Design-Year-Forecast-poi-99730-3697.0,00:00:00,23:59:59,volume,135000
Opening-Year-99730-3698.0,Opening-Year-Model-Run,99730-3698.0,Opening-Year-Forecast-poi-99730-3698.0,00:00:00,23:59:59,volume,148000
Design-Year-99730-3698.0,Design-Year-Model-Run,99730-3698.0,Design-Year-Forecast-poi-99730-3698.0,00:00:00,23:59:59,volume,164000
Opening-Year-99730-3699.0,Opening-Year-Model-Run,99730-3699.0,Opening-Year-Forecast-poi-99730-3699.0,00:00:00,23:59:59,volume,151000
Design-Year-99730-3699.0,Design-Year-Model-Run,99730-3699.0,Design-Year-Forecast-poi-99730-3699.0,00:00:00,23:59:59,volume,158000
Opening-Year-99730-3700.0,Opening-Year-Model-Run,99730-3700.0,Opening-Year-Forecast-poi-99730-3700.0,00:00:00,23:59:59,volume,165000
Design-Year-99730-3700.0,Design-Year-Model-Run,99730-3700.0,Design-Year-Forecast-poi-99730-3700.0,00:00:00,23:59:59,volume,202000
