poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
99730-3686.0, FRA708.44,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA708.44
99730-3687.0, FRA709.43,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA709.43
99730-3688.0, FRA7010.57,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7010.57
99730-3689.0, FRA7011.495,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7011.495
99730-3690.0, FRA7012.095,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7012.095
99730-3691.0, FRA7012.81,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7012.81
99730-3692.0, FRA7013.58,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7013.58
99730-3693.0, FRA7014,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7014
99730-3694.0, FRA7014.12,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7014.12
99730-3695.0, FRA7014.24,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7014.24
99730-3696.0, FRA7014.535,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7014.535
99730-3697.0, FRA7015.42,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA7015.42
99730-3698.0, FRA27031.395,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA27031.395
99730-3699.0, FRA27032.92,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA27032.92
99730-3700.0, FRA27034.04,1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT, FRA27034.04
