forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-99798-5678.0,Opening-Year-Model-Run,99798-5678.0,Opening-Year-Forecast-poi-99798-5678.0,00:00:00,23:59:59,volume,3200
Design-Year-99798-5678.0,Design-Year-Model-Run,99798-5678.0,Design-Year-Forecast-poi-99798-5678.0,00:00:00,23:59:59,volume,3700
Opening-Year-99798-5684.0,Opening-Year-Model-Run,99798-5684.0,Opening-Year-Forecast-poi-99798-5684.0,00:00:00,23:59:59,volume,4800
Design-Year-99798-5684.0,Design-Year-Model-Run,99798-5684.0,Design-Year-Forecast-poi-99798-5684.0,00:00:00,23:59:59,volume,4800
Opening-Year-99798-5696.0,Opening-Year-Model-Run,99798-5696.0,Opening-Year-Forecast-poi-99798-5696.0,00:00:00,23:59:59,volume,6400
Design-Year-99798-5696.0,Design-Year-Model-Run,99798-5696.0,Design-Year-Forecast-poi-99798-5696.0,00:00:00,23:59:59,volume,6600
Opening-Year-99798-5697.0,Opening-Year-Model-Run,99798-5697.0,Opening-Year-Forecast-poi-99798-5697.0,00:00:00,23:59:59,volume,5900
Design-Year-99798-5697.0,Design-Year-Model-Run,99798-5697.0,Design-Year-Forecast-poi-99798-5697.0,00:00:00,23:59:59,volume,6100
Opening-Year-99798-5715.0,Opening-Year-Model-Run,99798-5715.0,Opening-Year-Forecast-poi-99798-5715.0,00:00:00,23:59:59,volume,5400
Design-Year-99798-5715.0,Design-Year-Model-Run,99798-5715.0,Design-Year-Forecast-poi-99798-5715.0,00:00:00,23:59:59,volume,5400
