obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
99999-5035-1,99999-5035,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,63768
99999-5035-1,99999-5035,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,63768
99999-5038-1,99999-5038,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,149490
99999-5038-1,99999-5038,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,149490
99999-5039-1,99999-5039,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,143208
99999-5039-1,99999-5039,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,143208
99999-5040-1,99999-5040,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,159380
99999-5040-1,99999-5040,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,159380
99999-5041-1,99999-5041,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,123706
99999-5041-1,99999-5041,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,123706
99999-5128-1,99999-5128,Opening Year,unknown,unknown,2015,00:00:00,00:00:00,volume,12416
99999-5128-1,99999-5128,Design Year,unknown,unknown,2015,00:00:00,00:00:00,volume,12416
