forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-Unavailable-1848.0,Opening-Year-Model-Run,Unavailable-1848.0,Opening-Year-Forecast-poi-Unavailable-1848.0,00:00:00,23:59:59,volume,84240
Design-Year-Unavailable-1848.0,Design-Year-Model-Run,Unavailable-1848.0,Design-Year-Forecast-poi-Unavailable-1848.0,00:00:00,23:59:59,volume,95470
Opening-Year-Unavailable-1849.0,Opening-Year-Model-Run,Unavailable-1849.0,Opening-Year-Forecast-poi-Unavailable-1849.0,00:00:00,23:59:59,volume,77580
Design-Year-Unavailable-1849.0,Design-Year-Model-Run,Unavailable-1849.0,Design-Year-Forecast-poi-Unavailable-1849.0,00:00:00,23:59:59,volume,90000
Opening-Year-Unavailable-1858.0,Opening-Year-Model-Run,Unavailable-1858.0,Opening-Year-Forecast-poi-Unavailable-1858.0,00:00:00,23:59:59,volume,27000
Design-Year-Unavailable-1858.0,Design-Year-Model-Run,Unavailable-1858.0,Design-Year-Forecast-poi-Unavailable-1858.0,00:00:00,23:59:59,volume,36560
Opening-Year-Unavailable-1859.0,Opening-Year-Model-Run,Unavailable-1859.0,Opening-Year-Forecast-poi-Unavailable-1859.0,00:00:00,23:59:59,volume,21900
Design-Year-Unavailable-1859.0,Design-Year-Model-Run,Unavailable-1859.0,Design-Year-Forecast-poi-Unavailable-1859.0,00:00:00,23:59:59,volume,26200
Opening-Year-Unavailable-1860.0,Opening-Year-Model-Run,Unavailable-1860.0,Opening-Year-Forecast-poi-Unavailable-1860.0,00:00:00,23:59:59,volume,11600
Design-Year-Unavailable-1860.0,Design-Year-Model-Run,Unavailable-1860.0,Design-Year-Forecast-poi-Unavailable-1860.0,00:00:00,23:59:59,volume,12100
Opening-Year-Unavailable-1861.0,Opening-Year-Model-Run,Unavailable-1861.0,Opening-Year-Forecast-poi-Unavailable-1861.0,00:00:00,23:59:59,volume,19400
Design-Year-Unavailable-1861.0,Design-Year-Model-Run,Unavailable-1861.0,Design-Year-Forecast-poi-Unavailable-1861.0,00:00:00,23:59:59,volume,23300
