forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-Unavailable-4121.0,Opening-Year-Model-Run,Unavailable-4121.0,Opening-Year-Forecast-poi-Unavailable-4121.0,00:00:00,23:59:59,volume,0
Design-Year-Unavailable-4121.0,Design-Year-Model-Run,Unavailable-4121.0,Design-Year-Forecast-poi-Unavailable-4121.0,00:00:00,23:59:59,volume,135150
Opening-Year-Unavailable-4122.0,Opening-Year-Model-Run,Unavailable-4122.0,Opening-Year-Forecast-poi-Unavailable-4122.0,00:00:00,23:59:59,volume,90470
Design-Year-Unavailable-4122.0,Design-Year-Model-Run,Unavailable-4122.0,Design-Year-Forecast-poi-Unavailable-4122.0,00:00:00,23:59:59,volume,137110
Opening-Year-Unavailable-4151.0,Opening-Year-Model-Run,Unavailable-4151.0,Opening-Year-Forecast-poi-Unavailable-4151.0,00:00:00,23:59:59,volume,24900
Design-Year-Unavailable-4151.0,Design-Year-Model-Run,Unavailable-4151.0,Design-Year-Forecast-poi-Unavailable-4151.0,00:00:00,23:59:59,volume,37890
Opening-Year-Unavailable-4152.0,Opening-Year-Model-Run,Unavailable-4152.0,Opening-Year-Forecast-poi-Unavailable-4152.0,00:00:00,23:59:59,volume,24620
Design-Year-Unavailable-4152.0,Design-Year-Model-Run,Unavailable-4152.0,Design-Year-Forecast-poi-Unavailable-4152.0,00:00:00,23:59:59,volume,36220
Opening-Year-Unavailable-4184.0,Opening-Year-Model-Run,Unavailable-4184.0,Opening-Year-Forecast-poi-Unavailable-4184.0,00:00:00,23:59:59,volume,4950
Design-Year-Unavailable-4184.0,Design-Year-Model-Run,Unavailable-4184.0,Design-Year-Forecast-poi-Unavailable-4184.0,00:00:00,23:59:59,volume,7990
Opening-Year-Unavailable-4185.0,Opening-Year-Model-Run,Unavailable-4185.0,Opening-Year-Forecast-poi-Unavailable-4185.0,00:00:00,23:59:59,volume,5700
Design-Year-Unavailable-4185.0,Design-Year-Model-Run,Unavailable-4185.0,Design-Year-Forecast-poi-Unavailable-4185.0,00:00:00,23:59:59,volume,13730
Opening-Year-Unavailable-4186.0,Opening-Year-Model-Run,Unavailable-4186.0,Opening-Year-Forecast-poi-Unavailable-4186.0,00:00:00,23:59:59,volume,0
Design-Year-Unavailable-4186.0,Design-Year-Model-Run,Unavailable-4186.0,Design-Year-Forecast-poi-Unavailable-4186.0,00:00:00,23:59:59,volume,83840
Opening-Year-Unavailable-4187.0,Opening-Year-Model-Run,Unavailable-4187.0,Opening-Year-Forecast-poi-Unavailable-4187.0,00:00:00,23:59:59,volume,0
Design-Year-Unavailable-4187.0,Design-Year-Model-Run,Unavailable-4187.0,Design-Year-Forecast-poi-Unavailable-4187.0,00:00:00,23:59:59,volume,131800
Opening-Year-Unavailable-4188.0,Opening-Year-Model-Run,Unavailable-4188.0,Opening-Year-Forecast-poi-Unavailable-4188.0,00:00:00,23:59:59,volume,5680
Design-Year-Unavailable-4188.0,Design-Year-Model-Run,Unavailable-4188.0,Design-Year-Forecast-poi-Unavailable-4188.0,00:00:00,23:59:59,volume,13570
Opening-Year-Unavailable-4189.0,Opening-Year-Model-Run,Unavailable-4189.0,Opening-Year-Forecast-poi-Unavailable-4189.0,00:00:00,23:59:59,volume,5370
Design-Year-Unavailable-4189.0,Design-Year-Model-Run,Unavailable-4189.0,Design-Year-Forecast-poi-Unavailable-4189.0,00:00:00,23:59:59,volume,11730
Opening-Year-Unavailable-4190.0,Opening-Year-Model-Run,Unavailable-4190.0,Opening-Year-Forecast-poi-Unavailable-4190.0,00:00:00,23:59:59,volume,82060
Design-Year-Unavailable-4190.0,Design-Year-Model-Run,Unavailable-4190.0,Design-Year-Forecast-poi-Unavailable-4190.0,00:00:00,23:59:59,volume,84940
Opening-Year-Unavailable-4191.0,Opening-Year-Model-Run,Unavailable-4191.0,Opening-Year-Forecast-poi-Unavailable-4191.0,00:00:00,23:59:59,volume,87780
Design-Year-Unavailable-4191.0,Design-Year-Model-Run,Unavailable-4191.0,Design-Year-Forecast-poi-Unavailable-4191.0,00:00:00,23:59:59,volume,133330
