obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
Unavailable-4121.0-1,Unavailable-4121.0,Opening-Year-Forecast-poi-Unavailable-4121.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,89543
Unavailable-4122.0-1,Unavailable-4122.0,Opening-Year-Forecast-poi-Unavailable-4122.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,89543
Unavailable-4151.0-1,Unavailable-4151.0,Opening-Year-Forecast-poi-Unavailable-4151.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,15200
Unavailable-4152.0-1,Unavailable-4152.0,Opening-Year-Forecast-poi-Unavailable-4152.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,15200
Unavailable-4184.0-1,Unavailable-4184.0,Opening-Year-Forecast-poi-Unavailable-4184.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,10275
Unavailable-4185.0-1,Unavailable-4185.0,Opening-Year-Forecast-poi-Unavailable-4185.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,4208
Unavailable-4186.0-1,Unavailable-4186.0,Opening-Year-Forecast-poi-Unavailable-4186.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,119247
Unavailable-4187.0-1,Unavailable-4187.0,Opening-Year-Forecast-poi-Unavailable-4187.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,86478
Unavailable-4188.0-1,Unavailable-4188.0,Opening-Year-Forecast-poi-Unavailable-4188.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,10275
Unavailable-4189.0-1,Unavailable-4189.0,Opening-Year-Forecast-poi-Unavailable-4189.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,4208
Unavailable-4190.0-1,Unavailable-4190.0,Opening-Year-Forecast-poi-Unavailable-4190.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,119247
Unavailable-4191.0-1,Unavailable-4191.0,Opening-Year-Forecast-poi-Unavailable-4191.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,86478
