poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
Unavailable-2497,", , FRA700",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , FRA700"
Unavailable-2497,", , FRA700",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , FRA700"
Unavailable-2498,", , FRA705.25",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , FRA705.25"
Unavailable-2498,", , FRA705.25",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , FRA705.25"
Unavailable-5962,", , FRA703.53",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA703.53"
Unavailable-5962,", , FRA703.53",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA703.53"
Unavailable-5963,", , FRA706.01",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA706.01"
Unavailable-5963,", , FRA706.01",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA706.01"
Unavailable-5988,", , FRA703.53",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA703.53"
Unavailable-5988,", , FRA703.53",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA703.53"
Unavailable-5989,", , FRA706.01",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA706.01"
Unavailable-5989,", , FRA706.01",1-Interstate or Limited-access facility,,,unknown,Freeway,Freeway,,Ohio,OhioDOT,", , FRA706.01"
