forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,Unavailable-6133,Opening Year,00:00:00,00:00:00,volume,85000
f3,1,Unavailable-6133,Design Year,00:00:00,00:00:00,volume,99000
f1,1,Unavailable-6134,Opening Year,00:00:00,00:00:00,volume,81000
f3,1,Unavailable-6134,Design Year,00:00:00,00:00:00,volume,92000
f1,1,Unavailable-6135,Opening Year,00:00:00,00:00:00,volume,23000
f3,1,Unavailable-6135,Design Year,00:00:00,00:00:00,volume,29000
f1,1,Unavailable-6138,Opening Year,00:00:00,00:00:00,volume,6300
f3,1,Unavailable-6138,Design Year,00:00:00,00:00:00,volume,6800
f1,1,Unavailable-6145,Opening Year,00:00:00,00:00:00,volume,4600
f3,1,Unavailable-6145,Design Year,00:00:00,00:00:00,volume,5400
f1,1,Unavailable-6149,Opening Year,00:00:00,00:00:00,volume,2800
f3,1,Unavailable-6149,Design Year,00:00:00,00:00:00,volume,3500
