obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
Unavailable-6048-1,Unavailable-6048,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6048-1,Unavailable-6048,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6049-1,Unavailable-6049,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6049-1,Unavailable-6049,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6050-1,Unavailable-6050,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6050-1,Unavailable-6050,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6051-1,Unavailable-6051,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6051-1,Unavailable-6051,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6052-1,Unavailable-6052,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6052-1,Unavailable-6052,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6053-1,Unavailable-6053,Opening Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
Unavailable-6053-1,Unavailable-6053,Design Year,unknown,unknown,2009,00:00:00,00:00:00,volume,4180
