poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
Unavailable-3951,", , HAM716.18",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM716.18"
Unavailable-3951,", , HAM716.18",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM716.18"
Unavailable-3952,", , HAM716.96",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM716.96"
Unavailable-3952,", , HAM716.96",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM716.96"
Unavailable-3953,", , HAM718.75",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM718.75"
Unavailable-3953,", , HAM718.75",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM718.75"
Unavailable-3954,", , HAM7110.33",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM7110.33"
Unavailable-3954,", , HAM7110.33",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM7110.33"
Unavailable-3961,", , HAM5622.27",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM5622.27"
Unavailable-3961,", , HAM5622.27",1-Interstate or Limited-access facility,,,rural,Freeway,Freeway,,Ohio,OhioDOT,", , HAM5622.27"
