forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,Unavailable-5025,Opening Year,00:00:00,00:00:00,volume,34000
f3,1,Unavailable-5025,Design Year,00:00:00,00:00:00,volume,43000
f1,1,Unavailable-5026,Opening Year,00:00:00,00:00:00,volume,51000
f3,1,Unavailable-5026,Design Year,00:00:00,00:00:00,volume,59000
f1,1,Unavailable-5027,Opening Year,00:00:00,00:00:00,volume,69000
f3,1,Unavailable-5027,Design Year,00:00:00,00:00:00,volume,86000
f1,1,Unavailable-5028,Opening Year,00:00:00,00:00:00,volume,78000
f3,1,Unavailable-5028,Design Year,00:00:00,00:00:00,volume,96000
f1,1,Unavailable-5029,Opening Year,00:00:00,00:00:00,volume,57000
f3,1,Unavailable-5029,Design Year,00:00:00,00:00:00,volume,65000
f1,1,Unavailable-5110,Opening Year,00:00:00,00:00:00,volume,33000
f3,1,Unavailable-5110,Design Year,00:00:00,00:00:00,volume,33000
f1,1,Unavailable-5111,Opening Year,00:00:00,00:00:00,volume,28000
f3,1,Unavailable-5111,Design Year,00:00:00,00:00:00,volume,35000
f1,1,Unavailable-5112,Opening Year,00:00:00,00:00:00,volume,13000
f3,1,Unavailable-5112,Design Year,00:00:00,00:00:00,volume,16000
f1,1,Unavailable-5113,Opening Year,00:00:00,00:00:00,volume,21000
f3,1,Unavailable-5113,Design Year,00:00:00,00:00:00,volume,22000
