forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,Unavailable-5321,Opening Year,00:00:00,00:00:00,volume,18000
f3,1,Unavailable-5321,Design Year,00:00:00,00:00:00,volume,22000
f1,1,Unavailable-5322,Opening Year,00:00:00,00:00:00,volume,12000
f3,1,Unavailable-5322,Design Year,00:00:00,00:00:00,volume,14000
f1,1,Unavailable-5327,Opening Year,00:00:00,00:00:00,volume,6500
f3,1,Unavailable-5327,Design Year,00:00:00,00:00:00,volume,6800
f1,1,Unavailable-5328,Opening Year,00:00:00,00:00:00,volume,11000
f3,1,Unavailable-5328,Design Year,00:00:00,00:00:00,volume,13000
f1,1,Unavailable-5331,Opening Year,00:00:00,00:00:00,volume,6100
f3,1,Unavailable-5331,Design Year,00:00:00,00:00:00,volume,7000
