poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
Unavailable-5416,", , MOT480.5",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT480.5"
Unavailable-5416,", , MOT480.5",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT480.5"
Unavailable-5417,", , MOT480.84",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT480.84"
Unavailable-5417,", , MOT480.84",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT480.84"
Unavailable-5418,", , MOT7410.11",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.11"
Unavailable-5418,", , MOT7410.11",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.11"
Unavailable-5419,", , MOT7410.29",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.29"
Unavailable-5419,", , MOT7410.29",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.29"
Unavailable-5420,", , MOT7410.61",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.61"
Unavailable-5420,", , MOT7410.61",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.61"
Unavailable-5421,", , MOT7410.96",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.96"
Unavailable-5421,", , MOT7410.96",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7410.96"
Unavailable-5422,", , MOT7411.18",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7411.18"
Unavailable-5422,", , MOT7411.18",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7411.18"
Unavailable-5423,", , MOT7411.31",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7411.31"
Unavailable-5423,", , MOT7411.31",3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,", , MOT7411.31"
