forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,Unavailable-4568,Opening Year,00:00:00,00:00:00,volume,26350
f3,1,Unavailable-4568,Design Year,00:00:00,00:00:00,volume,28010
f1,1,Unavailable-4569,Opening Year,00:00:00,00:00:00,volume,25400
f3,1,Unavailable-4569,Design Year,00:00:00,00:00:00,volume,27030
f1,1,Unavailable-4570,Opening Year,00:00:00,00:00:00,volume,25310
f3,1,Unavailable-4570,Design Year,00:00:00,00:00:00,volume,26940
f1,1,Unavailable-4571,Opening Year,00:00:00,00:00:00,volume,24810
f3,1,Unavailable-4571,Design Year,00:00:00,00:00:00,volume,26440
f1,1,Unavailable-4572,Opening Year,00:00:00,00:00:00,volume,24810
f3,1,Unavailable-4572,Design Year,00:00:00,00:00:00,volume,26440
f1,1,Unavailable-4573,Opening Year,00:00:00,00:00:00,volume,24510
f3,1,Unavailable-4573,Design Year,00:00:00,00:00:00,volume,26140
f1,1,Unavailable-4574,Opening Year,00:00:00,00:00:00,volume,24520
f3,1,Unavailable-4574,Design Year,00:00:00,00:00:00,volume,26150
f1,1,Unavailable-4575,Opening Year,00:00:00,00:00:00,volume,24230
f3,1,Unavailable-4575,Design Year,00:00:00,00:00:00,volume,25730
f1,1,Unavailable-4576,Opening Year,00:00:00,00:00:00,volume,23180
f3,1,Unavailable-4576,Design Year,00:00:00,00:00:00,volume,24630
