forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,Unavailable-3721,Opening Year,00:00,24:00,volume,31000
f3,1,Unavailable-3721,Design Year,00:00,24:00,volume,35000
f1,1,Unavailable-3722,Opening Year,00:00,24:00,volume,34000
f3,1,Unavailable-3722,Design Year,00:00,24:00,volume,37000
f1,1,Unavailable-3723,Opening Year,00:00,24:00,volume,36000
f3,1,Unavailable-3723,Design Year,00:00,24:00,volume,39000
f1,1,Unavailable-3724,Opening Year,00:00,24:00,volume,35000
f3,1,Unavailable-3724,Design Year,00:00,24:00,volume,37000
f1,1,Unavailable-3725,Opening Year,00:00,24:00,volume,32000
f3,1,Unavailable-3725,Design Year,00:00,24:00,volume,34000
f1,1,Unavailable-3726,Opening Year,00:00,24:00,volume,31000
f3,1,Unavailable-3726,Design Year,00:00,24:00,volume,32000
