forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-Unavailable-5680.0,Opening-Year-Model-Run,Unavailable-5680.0,Opening-Year-Forecast-poi-Unavailable-5680.0,00:00:00,23:59:59,volume,13000
Design-Year-Unavailable-5680.0,Design-Year-Model-Run,Unavailable-5680.0,Design-Year-Forecast-poi-Unavailable-5680.0,00:00:00,23:59:59,volume,14000
Opening-Year-Unavailable-5681.0,Opening-Year-Model-Run,Unavailable-5681.0,Opening-Year-Forecast-poi-Unavailable-5681.0,00:00:00,23:59:59,volume,14000
Design-Year-Unavailable-5681.0,Design-Year-Model-Run,Unavailable-5681.0,Design-Year-Forecast-poi-Unavailable-5681.0,00:00:00,23:59:59,volume,16000
Opening-Year-Unavailable-5682.0,Opening-Year-Model-Run,Unavailable-5682.0,Opening-Year-Forecast-poi-Unavailable-5682.0,00:00:00,23:59:59,volume,15000
Design-Year-Unavailable-5682.0,Design-Year-Model-Run,Unavailable-5682.0,Design-Year-Forecast-poi-Unavailable-5682.0,00:00:00,23:59:59,volume,16000
Opening-Year-Unavailable-5683.0,Opening-Year-Model-Run,Unavailable-5683.0,Opening-Year-Forecast-poi-Unavailable-5683.0,00:00:00,23:59:59,volume,21000
Design-Year-Unavailable-5683.0,Design-Year-Model-Run,Unavailable-5683.0,Design-Year-Forecast-poi-Unavailable-5683.0,00:00:00,23:59:59,volume,22000
Opening-Year-Unavailable-5685.0,Opening-Year-Model-Run,Unavailable-5685.0,Opening-Year-Forecast-poi-Unavailable-5685.0,00:00:00,23:59:59,volume,11000
Design-Year-Unavailable-5685.0,Design-Year-Model-Run,Unavailable-5685.0,Design-Year-Forecast-poi-Unavailable-5685.0,00:00:00,23:59:59,volume,12000
Opening-Year-Unavailable-5687.0,Opening-Year-Model-Run,Unavailable-5687.0,Opening-Year-Forecast-poi-Unavailable-5687.0,00:00:00,23:59:59,volume,7200
Design-Year-Unavailable-5687.0,Design-Year-Model-Run,Unavailable-5687.0,Design-Year-Forecast-poi-Unavailable-5687.0,00:00:00,23:59:59,volume,8800
Opening-Year-Unavailable-5688.0,Opening-Year-Model-Run,Unavailable-5688.0,Opening-Year-Forecast-poi-Unavailable-5688.0,00:00:00,23:59:59,volume,6600
Design-Year-Unavailable-5688.0,Design-Year-Model-Run,Unavailable-5688.0,Design-Year-Forecast-poi-Unavailable-5688.0,00:00:00,23:59:59,volume,7900
Opening-Year-Unavailable-5690.0,Opening-Year-Model-Run,Unavailable-5690.0,Opening-Year-Forecast-poi-Unavailable-5690.0,00:00:00,23:59:59,volume,2800
Design-Year-Unavailable-5690.0,Design-Year-Model-Run,Unavailable-5690.0,Design-Year-Forecast-poi-Unavailable-5690.0,00:00:00,23:59:59,volume,2800
Opening-Year-Unavailable-5695.0,Opening-Year-Model-Run,Unavailable-5695.0,Opening-Year-Forecast-poi-Unavailable-5695.0,00:00:00,23:59:59,volume,5800
Design-Year-Unavailable-5695.0,Design-Year-Model-Run,Unavailable-5695.0,Design-Year-Forecast-poi-Unavailable-5695.0,00:00:00,23:59:59,volume,5900
Opening-Year-Unavailable-5699.0,Opening-Year-Model-Run,Unavailable-5699.0,Opening-Year-Forecast-poi-Unavailable-5699.0,00:00:00,23:59:59,volume,5900
Design-Year-Unavailable-5699.0,Design-Year-Model-Run,Unavailable-5699.0,Design-Year-Forecast-poi-Unavailable-5699.0,00:00:00,23:59:59,volume,7300
Opening-Year-Unavailable-5707.0,Opening-Year-Model-Run,Unavailable-5707.0,Opening-Year-Forecast-poi-Unavailable-5707.0,00:00:00,23:59:59,volume,6300
Design-Year-Unavailable-5707.0,Design-Year-Model-Run,Unavailable-5707.0,Design-Year-Forecast-poi-Unavailable-5707.0,00:00:00,23:59:59,volume,6300
Opening-Year-Unavailable-5708.0,Opening-Year-Model-Run,Unavailable-5708.0,Opening-Year-Forecast-poi-Unavailable-5708.0,00:00:00,23:59:59,volume,4800
Design-Year-Unavailable-5708.0,Design-Year-Model-Run,Unavailable-5708.0,Design-Year-Forecast-poi-Unavailable-5708.0,00:00:00,23:59:59,volume,5100
Opening-Year-Unavailable-5709.0,Opening-Year-Model-Run,Unavailable-5709.0,Opening-Year-Forecast-poi-Unavailable-5709.0,00:00:00,23:59:59,volume,1500
Design-Year-Unavailable-5709.0,Design-Year-Model-Run,Unavailable-5709.0,Design-Year-Forecast-poi-Unavailable-5709.0,00:00:00,23:59:59,volume,1500
Opening-Year-Unavailable-5711.0,Opening-Year-Model-Run,Unavailable-5711.0,Opening-Year-Forecast-poi-Unavailable-5711.0,00:00:00,23:59:59,volume,1500
Design-Year-Unavailable-5711.0,Design-Year-Model-Run,Unavailable-5711.0,Design-Year-Forecast-poi-Unavailable-5711.0,00:00:00,23:59:59,volume,1500
