forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,Unavailable-6005,Opening Year,00:00,24:00,volume,28860
f3,1,Unavailable-6005,Design Year,00:00,24:00,volume,30290
f1,1,Unavailable-6006,Opening Year,00:00,24:00,volume,31110
f3,1,Unavailable-6006,Design Year,00:00,24:00,volume,32650
f1,1,Unavailable-6007,Opening Year,00:00,24:00,volume,28000
f3,1,Unavailable-6007,Design Year,00:00,24:00,volume,29700
f1,1,Unavailable-6008,Opening Year,00:00,24:00,volume,25200
f3,1,Unavailable-6008,Design Year,00:00,24:00,volume,26420
f1,1,Unavailable-6009,Opening Year,00:00,24:00,volume,25240
f3,1,Unavailable-6009,Design Year,00:00,24:00,volume,26520
f1,1,Unavailable-6010,Opening Year,00:00,24:00,volume,26610
f3,1,Unavailable-6010,Design Year,00:00,24:00,volume,27940
f1,1,Unavailable-6011,Opening Year,00:00,24:00,volume,73602
f3,1,Unavailable-6011,Design Year,00:00,24:00,volume,28730
f1,1,Unavailable-6012,Opening Year,00:00,24:00,volume,26570
f3,1,Unavailable-6012,Design Year,00:00,24:00,volume,27900
f1,1,Unavailable-6013,Opening Year,00:00,24:00,volume,21110
f3,1,Unavailable-6013,Design Year,00:00,24:00,volume,21510
f1,1,Unavailable-6014,Opening Year,00:00,24:00,volume,17530
f3,1,Unavailable-6014,Design Year,00:00,24:00,volume,18400
f1,1,Unavailable-6015,Opening Year,00:00,24:00,volume,17940
f3,1,Unavailable-6015,Design Year,00:00,24:00,volume,18820
f1,1,Unavailable-6019,Opening Year,00:00,24:00,volume,19240
f3,1,Unavailable-6019,Design Year,00:00,24:00,volume,20180
f1,1,Unavailable-6020,Opening Year,00:00,24:00,volume,25370
f3,1,Unavailable-6020,Design Year,00:00,24:00,volume,26420
f1,1,Unavailable-6021,Opening Year,00:00,24:00,volume,24440
f3,1,Unavailable-6021,Design Year,00:00,24:00,volume,25630
f1,1,Unavailable-6022,Opening Year,00:00,24:00,volume,23470
f3,1,Unavailable-6022,Design Year,00:00,24:00,volume,24630
f1,1,Unavailable-6023,Opening Year,00:00,24:00,volume,20260
f3,1,Unavailable-6023,Design Year,00:00,24:00,volume,21240
f1,1,Unavailable-6024,Opening Year,00:00,24:00,volume,20390
f3,1,Unavailable-6024,Design Year,00:00,24:00,volume,21410
f1,1,Unavailable-6025,Opening Year,00:00,24:00,volume,17920
f3,1,Unavailable-6025,Design Year,00:00,24:00,volume,18800
f1,1,Unavailable-6026,Opening Year,00:00,24:00,volume,17870
f3,1,Unavailable-6026,Design Year,00:00,24:00,volume,18740
f1,1,Unavailable-6027,Opening Year,00:00,24:00,volume,16450
f3,1,Unavailable-6027,Design Year,00:00,24:00,volume,16590
