forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-Unavailable-4762.0,Opening-Year-Model-Run,Unavailable-4762.0,Opening-Year-Forecast-poi-Unavailable-4762.0,00:00:00,23:59:59,volume,5900
Design-Year-Unavailable-4762.0,Design-Year-Model-Run,Unavailable-4762.0,Design-Year-Forecast-poi-Unavailable-4762.0,00:00:00,23:59:59,volume,6500
Opening-Year-Unavailable-4776.0,Opening-Year-Model-Run,Unavailable-4776.0,Opening-Year-Forecast-poi-Unavailable-4776.0,00:00:00,23:59:59,volume,6700
Design-Year-Unavailable-4776.0,Design-Year-Model-Run,Unavailable-4776.0,Design-Year-Forecast-poi-Unavailable-4776.0,00:00:00,23:59:59,volume,7300
Opening-Year-Unavailable-4777.0,Opening-Year-Model-Run,Unavailable-4777.0,Opening-Year-Forecast-poi-Unavailable-4777.0,00:00:00,23:59:59,volume,8800
Design-Year-Unavailable-4777.0,Design-Year-Model-Run,Unavailable-4777.0,Design-Year-Forecast-poi-Unavailable-4777.0,00:00:00,23:59:59,volume,11000
Opening-Year-Unavailable-4794.0,Opening-Year-Model-Run,Unavailable-4794.0,Opening-Year-Forecast-poi-Unavailable-4794.0,00:00:00,23:59:59,volume,9300
Design-Year-Unavailable-4794.0,Design-Year-Model-Run,Unavailable-4794.0,Design-Year-Forecast-poi-Unavailable-4794.0,00:00:00,23:59:59,volume,14000
Opening-Year-Unavailable-4934.0,Opening-Year-Model-Run,Unavailable-4934.0,Opening-Year-Forecast-poi-Unavailable-4934.0,00:00:00,23:59:59,volume,9300
Design-Year-Unavailable-4934.0,Design-Year-Model-Run,Unavailable-4934.0,Design-Year-Forecast-poi-Unavailable-4934.0,00:00:00,23:59:59,volume,14000
