forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-1745-6250.0,Opening-Year-Model-Run,1745-6250.0,Opening-Year-Forecast-poi-1745-6250.0,00:00:00,23:59:59,volume,3800
Opening-Year-1745-6251.0,Opening-Year-Model-Run,1745-6251.0,Opening-Year-Forecast-poi-1745-6251.0,00:00:00,23:59:59,volume,4600
Opening-Year-1745-6254.0,Opening-Year-Model-Run,1745-6254.0,Opening-Year-Forecast-poi-1745-6254.0,00:00:00,23:59:59,volume,7900
Opening-Year-1745-6255.0,Opening-Year-Model-Run,1745-6255.0,Opening-Year-Forecast-poi-1745-6255.0,00:00:00,23:59:59,volume,5350
Opening-Year-1745-6256.0,Opening-Year-Model-Run,1745-6256.0,Opening-Year-Forecast-poi-1745-6256.0,00:00:00,23:59:59,volume,3500
Opening-Year-1745-6257.0,Opening-Year-Model-Run,1745-6257.0,Opening-Year-Forecast-poi-1745-6257.0,00:00:00,23:59:59,volume,3850
Opening-Year-1745-6261.0,Opening-Year-Model-Run,1745-6261.0,Opening-Year-Forecast-poi-1745-6261.0,00:00:00,23:59:59,volume,2350
Opening-Year-1745-6277.0,Opening-Year-Model-Run,1745-6277.0,Opening-Year-Forecast-poi-1745-6277.0,00:00:00,23:59:59,volume,3300
Opening-Year-1745-6280.0,Opening-Year-Model-Run,1745-6280.0,Opening-Year-Forecast-poi-1745-6280.0,00:00:00,23:59:59,volume,1150
Opening-Year-1745-6282.0,Opening-Year-Model-Run,1745-6282.0,Opening-Year-Forecast-poi-1745-6282.0,00:00:00,23:59:59,volume,1550
Opening-Year-1745-6283.0,Opening-Year-Model-Run,1745-6283.0,Opening-Year-Forecast-poi-1745-6283.0,00:00:00,23:59:59,volume,1150
Opening-Year-1745-6285.0,Opening-Year-Model-Run,1745-6285.0,Opening-Year-Forecast-poi-1745-6285.0,00:00:00,23:59:59,volume,1450
