poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
1929-6350,nan,3-Principal Arterial,,,urban,Principal Arterial,Principal Arterial,,Wisconsin,WisconsinDOT,nan
1929-6351,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6352,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6353,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6354,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6355,nan,3-Principal Arterial,,,urban,Principal Arterial,Principal Arterial,,Wisconsin,WisconsinDOT,nan
1929-6356,nan,3-Principal Arterial,,,urban,Principal Arterial,Principal Arterial,,Wisconsin,WisconsinDOT,nan
1929-6357,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6358,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6359,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6360,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6361,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6365,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6366,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6368,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6370,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6372,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6373,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6374,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6376,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6377,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6379,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
1929-6380,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
