poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
2126-6239.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6241.0,nan,3-Principal Arterial,,,urban,Principal Arterial,Principal Arterial,,Wisconsin,WisconsinDOT,nan
2126-6242.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6243.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6244.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6245.0,nan,3-Principal Arterial,,,urban,Principal Arterial,Principal Arterial,,Wisconsin,WisconsinDOT,nan
2126-6246.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6247.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6248.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
2126-6249.0,nan,,,,urban,unknown,unknown,,Wisconsin,WisconsinDOT,nan
